aachen	a khen
thucydide	tuy xi đít
thunerse	tu ne xơ
thutmose	thút mô giơ
tibesti	ti bê xờ ti
tiffany	ti pha ny
tigrane	ti gờ ran
tigre	ti gờ rơ
tihama	ti ha ma
tikal	ti can
tiksi	tích xi
timur	ti mua
tinian	ti ni an
tintin	tin tin
tirana	ti ra na
tirich	ti rích
tite	ti tơ
tito	ti tô
toamasina	toa ma si na
toba	tô ba
todd	tót
todorov	tô đô rốp
togliatti	tô li át ti
tokelau	tô kê lau
tokmak	tốc mắc
tol	tôn
tola	tô la
toland	tô len
toledo	tô li đô
tolstoj	tôn sờ tôi
tolstov	tôn xờ tốp
tombo	tôm bô
tomi	tô mi
tommaso	tô ma dô
tomonaga	tô mô na ga
tondini	tôn đi ni
tonga	tôn ga
tonle	tông lê
tordesillas	tót đê di lát
tordoki	tót đô ki
torino	tô ri nô
torngat	ton gát
torquay	tô quây
torresmoling	to rê xờ mô linh
torun	tô run
toscana	tô xờ ca na
toubkal	túp can
toulouse	tu lu giơ
toungoo	tun gu
tours	tua rơ
townes	tau nơ
toynbee	toi nơ bi
toyotomi	tô giô tô mi
trafalgar	tra phan ga
transvaal	tran sờ va an
travers	tơ ra vơ
trier	tri ơ
trieste	tơ ri e xờ tơ
trinil	tri nin
triolet	tri ô lét
trnka	trơn ca
trouin	trao in
trtu	tác tu
trubeckoj	tơ ru béc côi
trujillo	tru gi lô
tsui	tờ su i
tuamotu	tua mô tu
tuan	tu an
tuapse	tu áp sờ
tuareg	tua rết
tudor	tiu đo
tugan	tu gan
tulsidas	tun xi đát
turan	tu ran
turgot	tơ gót
turk	túc
turku	tua cu
turner	thân nơ
tussaud	tút xô
tuvy	tu vy
tuwim	tu quym
tuxa	tu xa
tuz	tu giơ
tuzla	tu giơ la
twenhofel	tô en hô phen
tylor	tai lơ
tzara	tơ gia ra
ucayali	u ca da li
uccello	u chê lô
udon	u đông
udonthani	u đon tha ni
udval	út van
ufa	u pha
ugalla	u ga la
uganda	u gan đa
ugarit	u ga rít
ujung	u giung
ulaanbaatar	diu lan ba tơ
ulanova	u la nô va
ulbricht	un bờ rích
uldall	un đan
uleaborg	u lê a bót
ulpianus	un bi a nút
ulysse	uy li xơ
umbell	um beo
umberto	um bét tô
umm	um
unamuno	u na mu nô
undset	un sét
upolu	u bô lu
uppsala	úp sa la
uranie	u ra ni
urartu	u ra tu
urbain	úc ben
urbino	uốc bi nô
urey	u ri
urmija	ua mi gia
urubamba	u ru bam ba
uruguay	u ru quay
uruk	u rúc
urwick	uốc vích
ushakov	u sa cốp
utamaro	u ta ma rô
utopia	u tô bi a
utuy	u tuy
utzon	út giôn
uusimaa	u xi ma
uzbek	u giơ bếch
uznadze	u giơ nát giơ
vaasa	va xa
vaduz	va đút
vah	vác
vajrabodhi	vai ra bô đi
valdaj	van đai
valenciennes	va lăng xiên
valery	va lê ry
valira	va li ra
vallin	va lin
vallon	va lông
valluy	va luy
vancouver	van cu vơ
vandermonde	van đơ mông
vantongerloo	van tô géc lô
vanua	va nu a
vardar	va đa
vargas	va gát
vasari	va sa ri
vat	vát
vatican	va ti căng
vaticanus	va ti ca nút
vatthana	vát tha na
vavilov	va vi lốp
veblen	vê bờ len
veen	vê en
vega	vê ga
veigert	vây ghéc
velazquez	vê la xờ kết
venezia	vê nê gi a
venezuela	vê nê giu ê la
venise	vê nai giơ
ventris	ven trít
venus	vê nớt
vercors	véc co
verdun	vơ đan
verhaecht	vê cha ét
verhaeren	vơ hây rơn
verhojan	véc khô i an
verlaine	véc len
vermeer	véc me
vernadskij	véc nát xờ ki
verne	véc nơ
verrocchio	vê rô ki ô
versailles	véc xây
vertov	véc tốp
vesalius	vê sa li út
vesuvio	vê su vi ô
vianden	vi an đen
viborg	vi bót
vico	vi cô
victoria	vích to ri a
vicvakarma	vích va các ma
vidal	vi đan
vidor	vi đo
vignola	víc nô la
vigny	vin ni
vigo	vi gô
vijaya	vi gia da
viktor	vích to
vilar	vi la
viljuj	vi liu
villager	vi la giơ
villari	vi la ri
villeneuve	vi la nu vơ
vilnius	vin ni út
vincent	vin xen
vinci	vin xi
vindhyadal	vin đờ da đan
vindobon	vin đô bôn
vinet	vi nê
vinogradov	vi nô ra đốp
vinson	vin xơn
virchow	vi a khốp
virgin	vơ gin
virginia	vơ gin ni a
virtanen	vi a ta nen
visby	vít bai
visconti	vít sờ con ti
vishnevskij	vi sờ nép xờ ki
visvakarman	vít va các man
vitebsk	vi tép xờ cơ
viteriano	vi tê ri a nô
viti	vi ti
vitim	vi tim
vitrac	vi tơ rác
vitruve	vi tru vơ
vittorini	vít tô ri ni
vittorio	vít tô ri ô
vivaldi	vi van đi
vivin	vi vin
vizcaya	vi giờ cay a
vladimir	vờ la đi mia
vladivostok	vờ la đi vốt sờ tốc
vlaminsk	va la min
vogt	vốt
volga	vôn ga
volgograd	vôn gô gờ rát
volta	vôn ta
voltaic	vôn ta ích
volterra	von te ra
von	von
vondel	vôn đen
vongsa	vông xa
voroshilov	vô rô si lốp
vosges	vô giơ
voznesenija	vô giờ nê xê ni a
vozrojdenia	vô giờ rô giơ đê ni a
vttern	vét tân
vulcano	vun ca nô
vygotskij	vư gốt xờ ki
xerxes	xéc xê
xubata	xu ba ta
yamamoto	da ma mô tô
yao	dao
yap	dáp
yaren	da ren
yarkant	dắc can
yersin	dẹc xin
yezo	dê giô
yoknapatawpha	dốc na pa tao pha
yokosuca	dô cô su ca
york	dót
yoruba	dô ru ba
yosa	dô sa
yosida	dô si đa
young	dâng
yukon	du cơn
zadeh	gia đê
zagreb	gia gờ rép
zagros	gia gờ rốt
zahlah	gia la
zakharov	gia kha rốp
zambezi	giăm bê gi
zamenhof	gia men hốp
zanzibar	gian gi ba
zaporozhe	gia bô rô giê
zaranj	gia ra ni
zarathustra	gia ra thút sờ tra
zarkhi	giắc khi
zavadovskij	gia va đốp xờ ki
zavattini	gia vát ti ni
zaydn	giây đờ
zazzo	gia giô
zeeman	giê man
zeiller	giên lơ
zeja	giây a
zelenin	giê lê nin
zelinskij	gien lin xờ ki
zenica	gie ni ca
zeromski	giê rôm xờ ki
zetkin	giét kin
zeus	giớt
zibe	gi bê
ziguinchor	gi ghin chơ
zimbabwe	gim ba bu ê
zinin	gi nin
zjulen	gi u len
zola	giô la
zomba	giôm ba
zrich	giuy rích
zuiderzee	giui đơ gi
