a'marie	ಅಮಾರೀ
hyderabad public school	ಹೈದರಾಬಾದ್ ಪಬ್ಲಿಕ್ ಸ್ಕೂಲ್
hyundai motor	ಹ್ಯುಂಡೈ ಮೋಟರ್
i^diyaa	ಇಂಡಿಯಾ
i^dukaant	ಇಂದುಕಾಂತ್
i^jeeniyar	ಇಂಜಿನಿಯರ್
iago	ಇಯಾಗೋ
ian austin	ಇಯಾನ್ ಆಸ್ಟಿನ್
ian bishop	ಇಯಾನ್ ಬಿಷಪ್
ian blackwell	ಇಯಾನ್ ಬ್ಲಾಕ್‌ವೆಲ್
ian bradshaw	ಇಯಾನ್ ಬ್ರಾಡ್‌ಶಾ
ian chappell	ಇಯಾನ್ ಚಾಪೆಲ್
ian daniel	ಇಯಾನ್ ಡೇನಿಯಲ್
ian gould	ಇಯಾನ್ ಗೋಲ್ಡ್
ian harvey	ಇಯಾನ್ ಹಾರ್ವೆ
ian healy	ಇಯಾನ್ ಹೀಲಿ
ian salisbury	ಇಯಾನ್ ಸಾಲಿಸ್ ಬರಿ
ianna	ಇಯಾನಾ
iberdrola	ಈಬರ್ಡ್ರೋಲಾ
iberian	ಇಬೇರಿಯನ್
ibhanan	ಇಭಾನನ್
ibn khafif	ಇಬ್ನ್ ಖಫೀಫ್
ibrahim	ಇಬ್ರಾಹಿಂ
ibsen	ಇಬ್ಸೆನ್
ibtihal	ಇಬ್ತಿಹಾಲ್
ice skating	ಐಸ್ ಸ್ಕೇಟಿಂಗ್
icon	ಐಕಾನ್
idaho	ಇಡಾಹೊ
idana	ಇಡನಾ
idola	ಇಡೋಲಾ
iduki	ಇಡುಕ್ಕಿ
iffat	ಇಫ್ಫತ್
igate solutions	ಐಗೇಟ್ ಸಲ್ಯೂಷನ್ಸ್
ignatius	ಇಗ್ನೇಷಿಯಸ್
iguacu	ಇಗುವಾಚು
iha	ಇಹಾ
ihina	ಇಹಿನಾ
ihsan	ಇಹ್ಸಾನ್
ihtiram	ಇತ್ತಿರಂ
ijaazat	ಇಜಾಜತ್
ijaz faqih	ಇಜಾಜ್ ಫಕೀ
ikabaal	ಇಕಬಾಲ್
ikhlas	ಇಕ್ಲಾಸ್
ikshu	ಇಕ್ಷು
ilham	ಇಲ್ಹಾಮ್
iliamna	ಇಲಿಯಾಮ್ನಾ
ilog ilog	ಐಲಾಗ್ ಐಲಾಗ್
imaan dharam	ಈಮಾನ್ ಧರಮ್
imaandar	ಇಮಾನ್ದಾರ್
imad	ಇಮದ್
imam	ಇಮಾಮ್
iman	ಇಮಾನ್
imax corporation	ಐಮ್ಯಾಕ್ಸ್ ಕಾರ್ಪೊರೇಶನ್
immanuel baptist	ಇಮ್ಯಾನುಯೆಲ್ ಬ್ಯಾಪ್ಟಿಸ್ಟ್
imogene	ಇಮೋಜಿನ್
imperial	ಇಂಪೀರಿಯಲ್
imran	ಇಮ್ರಾನ್
imran abbas	ಇಮ್ರಾನ್ ಅಬ್ಬಾಸ್
imran nazir	ಇಮ್ರಾನ್ ನಜೀರ್
inaam	ಇನಾಮ್
inam dus hazar	ಇನಾಮ್ ದಸ್ ಹಜಾರ್
inayat	ಇನಾಯತ್
indal	ಇಂಡಲ್
indeever	ಇದೀವರ
inderdeep	ಇಂದರ್‌ದೀಪ್
inderpreet	ಇಂದರ್‌ಪ್ರೀತ್
india in africa	ಇಂಡಿಯಾ ಇನ್ ಆಫ್ರಿಕಾ
india life	ಇಂಡಿಯಾ ಲೈಫ್
indian bank	ಇಂಡಿಯನ್ ಬ್ಯಾಂಕ್
indian international school	ಇಂಡಿಯನ್ ಇಂಟರ್‌ನ್ಯಾಶನಲ್ ಸ್ಕೂಲ್
indiana	ಇಂಡಿಯಾನಾ
indiana university bloomington	ಇಂಡಿಯಾನಾ ಯುನಿವರ್ಸಿಟಿ ಬ್ಲೂಮಿಂಗ್ಟನ್
indianapolis	ಇಂಡಿಯಾನಪೊಲಿಸ್
indika de saram	ಇಂಡಿಕಾ ಡಿಶರಂ
indika gallage	ಇಂಡಿಕಾ ಗಲ್ಲಗೆ
indivar	ಇಂದೀವರ
indore	ಇಂದೋರ್
indra	ಇಂದ್ರ
indrakarman	ಇಂದ್ರಕರ್ಮನ್
indrakshi	ಇಂದ್ರಾಕ್ಷಿ
indraneel	ಇಂದ್ರನೀಲ
indrapriya	ಇಂದ್ರಪ್ರಿಯ
indravishnu	ಇಂದ್ರವಿಷ್ಣು
indu	ಇಂದು
indukanta	ಇಂದುಕಾಂತ
indukirit	ಇಂದುಕಿರೀಟ್
indulal	ಇಂದುಲಾಲ್
indumukhi	ಇಂದುಮತಿ
induprabha	ಇಂದುಪ್ರಭಾ
indushekhar	ಇಂದುಶೇಖರ್
industry	ಇಂಡಸ್ಟ್ರೀಸ್
inflexible	ಇನ್‌ಫ್ಲೆಕ್ಸಿಬಲ್
ing vysya bank	ಐಎನ್‌ಜಿ ವೈಶ್ಯಾ ಬ್ಯಾಂಕ್
ingersoll rand	ಇಂಗರ್‌ಸೋಲ್ ರಾಂಡ್
inkaar	ಇಂಕಾರ್
innisfallen	ಇನ್ನಿಸ್‌ಫಾಲನ್
inquilab	ಇಂಕ್ವಿಲಾಬ್
insaaf kaun karega	ಇನ್ಸಾಫ್ ಕೌನ್ ಕರೇಗಾ
insaaf ki awaz	ಇನ್ಸಾಫ್ ಕಿ ಆವಾಜ್
insaaf ki pukar	ಇನ್ಸಾಫ್ ಕಿ ಪುಕಾರ್
insaan aur shaitan	ಇನ್ಸಾನ್ ಔರ್ ಶೈತಾನ್
insaaniyat	ಇನ್ಸಾನೀಯತ್
insaniyat ke dushman	ಇನ್ಸಾನಿಯತ್ ಕೆ ದುಶ್ಮನ್
inspector	ಇನ್ಸ್‌ಪೆಕ್ಟರ್
instruments	ಇನ್‌ಸ್ಟ್ರುಮೆಂಟ್ಸ್
interactive achievement awards	ಇಂಟರ್‌ಆಕ್ಟಿವ್ ಅಚೀವ್‌ಮೆಂಟ್ ಅವಾರ್ಡ್ಸ್
interceptor	ಇಂಟರ್‌ಸೆಪ್ಟರ್
international center of photography	ಇಂಟರ್‌ನ್ಯಾಶನಲ್ ಸೆಂಟರ್ ಆಫ್ ಫೋಟೊಗ್ರಫಿ
intezar	ಇಂತಜಾರ್
intikhab	ಇಂತಿಕಾಬ್
intisar	ಇಂತಿಸಾರ್
intizar	ಇಂತಿಜಾರ್
intl business machines	ಇಂಟರ್ನ್ಯಾಷನಲ್ ಬ್ಯುಸಿನೆಸ್ ಮೆಶಿನ್ಸ್
ion	ಇಯೋನ್
iona	ಇಯೋನಾ
iphigenie	ಇಫಿಜೆನೀ
ipsa	ಈಪ್ಸಾ
ipsita	ಈಪ್ಸಿತಾ
iqbal	ಇಕ್ಬಾಲ್
iqbal siddiqui	ಇಖ್ಬಾಲ್ ಸಿದ್ದಿಕಿ
iqbal sikander	ಇಕ್ಬಾಲ್ ಸಿಕಂದರ್
iqraar	ಇಕರಾರ್
iqtidar	ಇಕ್ತಿದಾರ್
iraaj	ಇರಾಜ್
iraanaj	ಇರಾನಜ್
iraputra	ಇರಾಪುತ್ರ
iraq	ಇರಾಕ್
iravan	ಇರಾವನ್
iravati	ಇರಾವತಿ
irawati	ಇರಾವತಿ
iren	ಐರಿನ್
irfan bhatti	ಇರ್ಫಾನ್ ಭಟ್ಟಿ
iridium	ಇರಿಡಿಯಂ
iris	ಐರಿಸ್
irish	ಐರಿಶ್
irma	ಇರ್ಮಾ
iron duke	ಐರನ್ ಡ್ಯೂಕ್
irshad	ಇರ್ಷಾದ್
irvine	ಇರ್ವಿನ್
is paar ya us paar	ಇಸ್ ಪಾರ್ ಯಾ ಉಸ್ ಪಾರ್
isa	ಇಸಾ
isabelle	ಇಸಾಬೆಲ್
isanne	ಇಸೇನ್
isaura	ಇಸಾರಾ
ishani	ಇಶಾನಿ
ishaq	ಇಶಾಕ್
ishita	ಇಶಿತಾ
ishrat	ಇಶ್ರತ್
ishtiyaq	ಇಶ್ತಿಯಾಕ್
ishwar	ಈಶ್ವರ್
ishwari	ಈಶ್ವರಿ
isi ka naam duniya hai	ಇಸೀ ಕಾ ನಾಮ್ ದುನಿಯಾ ಹೈ
isla	ಇಸ್ಲಾ
islam	ಇಸ್ಲಾಂ
isle royal	ಇಸ್ಲೇ ರಾಯಲ್
isleen	ಇಸ್ಲೀನ್
islip/macarthur	ಇಸ್ಲಿಪ್/ಮೆಕಾರ್ಥರ್
isma'il	ಇಸ್ಮಾಯಿಲ್
ismah	ಇಸ್ಮಾ
israail	ಇಸ್ರಾಯಿಲ್
israel prize	ಇಸ್ರೇಲ್ ಪ್ರೈಜ್
ita	ಇಟಾ
italy	ಇಟಲಿ
itanagar	ಇಟಾನಗರ್
itatiaia	ಇಟಾಟಿಯಾ
itimad	ಇತಿಮಾದ್
itni si baat	ಇತನೀ ಸೀ ಬಾತ್
ito yokado	ಇಟೋ ಯಕಾಡೊ
ituran location and control	ಇಟುರಾನ್ ಲೊಕೇಶನ್ ಅಂಡ್ ಕಂಟ್ರೋಲ್
ivanhoe	ಇವಾನ್ಹೋ
ivi	ಇವಿ
ivo	ಇವೋ
ivory	ಐವರಿ
ivvavik	ಇವ್ವಾಕ್
ivy	ಇವಿ
iwami	ಇವಾಮಿ
izhar	ಇಜಾರ್
izz an-nisa	ಇಜ್ಜ್ ಅನ್-ನಿಸಾ
jaali note	ಜಾಲಿನೋಟ್
jaan	ಜಾನ್
jaan hatheli pe	ಜಾನ್ ಹಥೇಲೀ ಪೆ
jaanbaaz	ಜಾಬಾಜ್
jaanhvekar	ಜಾನ್ಹವೇಕರ್
jaani dost	ಜಾನಿ ದೋಸ್ತ್
jaavdekar	ಜಾವಡೇಕರ್
jab jab phool khile	ಜಬ್ ಜಬ್ ಪೂಲ್ ಖಿಲೆ
jab pyar kise se hota hai	ಜಬ್ ಪ್ಯಾರ್ ಕಿಸೀ ಸೇ ಹೋತಾ ಹೈ
jab yaad kisi ki aati hai	ಜಬ್ ಯಾದ್ ಕಿಸೀ ಕಿ ಆತಿ ಹೈ
jabalah	ಜಬಾಲೆಹ್
jabin	ಜಬಿನ್
jabir	ಜಬೀರ್
jacada	ಜಕಾಡಾ
jacinda	ಜಾಕಿಂದ
jack	ಜಾಕ್
jack benny	ಜ್ಯಾಕ್ ಬೆನ್ನಿ
jackson	ಜ್ಯಾಕ್ಸನ್
jacksonville	ಜಾಕ್ಸನ್ ವಿಲ್ಲೆ
jacob martin	ಜಾಕೊಬ್ ಮಾರ್ಟಿನ್
jacques	ಜ್ಯಾಕ್ವಿಸ್
jacques kallis	ಜಾಕಿಸ್ ಕಾಲಿಸ್
jacques marchais museum of taiban art	ಜಾಕ್ಸ್ ಮಾರ್ಕೆಸ್ ಮ್ಯೂಸಿಯಂ ಆಫ್ ತೈಬನ್ ಆರ್ಟ್
jacqui	ಜ್ಯಾಕ್ಯೂ
jad	ಜದ್
jadu nagri	ಜಾದೂ ನಗರೀ
jadugar daku	ಜಾದುಗರ್ ಡಾಕೂ
jadzia	ಜಾಡ್ಜಿಯಾ
jaegar	ಜೆಗರ್
jaeger	ಜೆಗರ್
jafarwal	ಜಫರ್‌ವಾಲ್
jagadhidh	ಜಗದೀಧ್
jagajeet	ಜಗಜೀತ್
jagajeevan	ಜಗಜೀವನ್
jagannath puri	ಜಗನ್ನಾಥ ಪುರಿ
jagarau	ಜಗರಾವ್
jagatsinghpur	ಜಗತ್ ಸಿಂಗ್ ಪುರ್
jagdamba	ಜಗದಾಂಬಾ
jagdeesh	ಜಗದೀಶ್
jaggu	ಜಗ್ಗು
jagirdar	ಜಗೀರ್‌ದಾರ್
jagjeevan	ಜಗಜೀವನ್
jagjit	ಜಗಜೀತ್
jagtap	ಜಗತಪ್
jahan ara	ಜಹಾನ್ ಅರಾ
jahan khatoon	ಜಹಾನ್ ಖಾತೂನ್
jahan sati wahin bhagawan	ಜಹಾ ಸತೀ ವಹೀ ಭಗವಾನ್
jahanabad	ಜೆಹನಾಬಾದ್
jahangir alam	ಜಹಾಂಗಿರ್ ಅಲಾಂ
jahdamah	ಜಾದ್ಮಾ
jai ambe	ಜೈ ಅಂಬೆ
jai ambe maa	ಜೈ ಅಂಬೆ ಮಾ
jai bangladesh	ಜೈ ಬಾಂಗ್ಲಾದೇಶ್
jai ganesh	ಜೈ ಗಣೇಶ್
jai jagat janani	ಜೈ ಜಗತ್ ಜನನಿ
jai mahalaxmi	ಜೈ ಮಹಾಲಕ್ಷ್ಮಿ
jai mahalaxmi maa	ಜೈ ಮಹಾಲಕ್ಷ್ಮಿ ಮಾ
jaidayal	ಜಯದಯಾಲ್
jaidev	ಜಯದೇವ್
jaihind	ಜೈಹಿಂದ್
jailakshmi	ಜಯಲಕ್ಷ್ಮಿ
jailor	ಜೆಲರ್
jainism	ಜೈನಿಸಂ
jaiprakash narayan	ಜೈಪ್ರಕಾಶ್ ನಾರಾಯಣ್
jaipur	ಜೈಪುರ
jairaj	ಜಯರಾಜ್
jaisal	ಜೈಸಲ್
jaisalmer fort	ಜೈಸಲ್ಮೇರ್ ಫೋರ್ಟ್
jaise ko taisa	ಜೈಸೆ ಕೊ ತೈಸಾ
jaison	ಜೈಸನ್
jaisukh	ಜೈಸುಖ್
jaiwant	ಜಯವಂತ್
jaji	ಜಜೀ
jajpur	ಜಾಜ್ಪುರ್
jakadia	ಜಕಡಿಯಾ
jakarta	ಜಕಾರ್ತ
jakhad	ಜಾಖಡ್
jal bin machali	ಜಲ್ ಬಿನ್ ಮಛಲೀ
jal mahal	ಜಲ್ ಮಹಲ್
jal tarang	ಜಲ್ ತರಂಗ್
jaladhip	ಜಲದೀಪ್
jalandhar	ಜಲಂಧರ್
jalangi	ಜಲಾಂಗಿ
jalaput	ಜಾಲಪುತ್
jaleika	ಜಲೇಕಾ
jalendra	ಜಲೇಂದ್ರ
jalene	ಜಲೆನಿ
jalia	ಜಲಿಯಾ
jalianwala bagh ki jyoti	ಜಲಿಯನ್‌ವಾಲಾ ಬಾಗ್ ಕಿ ಜ್ಯೋತಿ
jalil	ಜಲಿಲ್
jalilah	ಜಲೀಲಾ
jallad	ಜಲ್ಲಾದ್
jamal	ಜಮಾಲ್
jambhale	ಜಾಂಭಾಲೆ
james anderson	ಜೇಮ್ಸ್ ಆಂಡರ್ಸನ್
james cook university	ಜೇಮ್ಸ್ ಕುಕ್ ಯುನಿವರ್ಸಿಟಿ
james dean	ಜೇಮ್ಸ್ ಡೀನ್
james franklin	ಜೇಮ್ಸ್ ಫ್ರಾಂಕ್ಲಿನ್
james kamande	ಜೇಮ್ಸ್ ಕಮಾಂಡೆ
james kirtley	ಜೇಮ್ಸ್ ಕಿರ್ಟ್ಲೆ
james marshall	ಜೇಮ್ಸ್ ಮಾರ್ಷಲ್
james michener	ಜೇಮ್ಸ್ ಮಿಕೆನರ್
james whitaker	ಜೇಮ್ಸ್ ವ್ಹಿಟಾಕೇರ್
jamie how	ಜೇಮೀ ಹೌ
jamie siddons	ಜಾಮಿ ಸಿಡೋನ್ಸ್
jamil	ಜಮಾಲ್
jamison	ಜಮಿಸನ್
jammu	ಜಮ್ಮು
jamui	ಜಮುಯ್
janaki	ಜಾನಕಿ
janam janam	ಜನಮ್ ಜನಮ್
janan	ಜನನ್
janasah	ಜನಸಾಹ್
janathavani	ಜನತಾವಾಣಿ
jane pauli	ಜೇನ್ ಪೌಲಿ
janelle	ಜನೆಲ್ಲಿ
jangal mein mangal	ಜಂಗಲ್ ಮೆ ಮಂಗಲ್
janine	ಜೆನಿನಿ
janjgir-champa	ಜಾಂಜ್ಗಿರ್-ಚಂಪಾ
janjira	ಜಂಜೀರಾ
janmabhoomi	ಜನ್ಮಭೂಮಿ
janoo	ಜಾನೂ
janta hawaldaar	ಜನತಾ ಹವಲದಾರ್
jantar mantar	ಜಂತರ್ ಮಂತರ್
january	ಜಾನವರಿ
janwar	ಜಾನವರ್
janwar aur insaan	ಜಾನವರ್ ಔರ್ ಇಂಸಾನ್
janyu	ಜನ್ಯು
japan	ಜಪಾನ್
japan post	ಜಪಾನ್ ಪೋಸ್ಟ್
japendra	ಜಪೇಂದ್ರ
japra	ಜಾಪ್ರಾ
jasavant	ಜಸ್ವಂತ್
jasbeer	ಜಸ್ಬೀರ್
jase	ಜೇಸ್
jashn	ಜಶ್ನ್
jasleen	ಜಸ್ಲೀನ್
jasmina	ಜಾಸ್ಮಿನಾ
jason	ಜೇಸನ್
jasper	ಜಾಸ್ಪರ್
jasrah	ಜಸ್ರಾ
jassi	ಜಸ್ಸಿ
jasswal	ಜಸ್ಸವಾಲ್
jaswant	ಜಸವಂತ್
jaulee	ಜೌಲೀ
jaunpur	ಜಾನ್ಪುರ
jaureguiberry	ಜೌರೇಗ್ಯುಬೆರಿ
java	ಜಾವಾ
javed omar	ಜಾವೇದ್ ಒಮರ್
jawab	ಜವಾಬ್
jawad	ಜಾವದ್
jawan	ಜವಾನ್
jawani ke gunah	ಜವಾನಿ ಕೆ ಗುನಾಹ್
jawani ki lehren	ಜವಾನಿ ಕಿ ಲಹರೇ
jawani solah saal ki	ಜವಾನಿ ಸೋಲಹ್ ಸಾಲ್ ಕಿ
jawara	ಜವಾರಾ
jawdan	ಜಾವದಾನ್
jawhar	ಜವಹರ್
jaxon	ಜಾಕ್ಸನ್
jay	ಜಯ್
jay leno	ಜೇ ಲೀನೋ
jaya	ಜಯಾ
jayadeep	ಜಯದೀಪ
jayadev	ಜಯದೇವ
jayananda warnaweera	ಜಯಾನಂದ ವರ್ಣವೀರ
jayant	ಜಯಂತ್
jayantha silva	ಜಯಂತ ಸಿಲ್ವ
jayanti	ಜಯಂತಿ
jayantika	ಜಯಂತಿಕ
jayashree	ಜಯಶ್ರೀ
jayasi	ಜಾಯಸೀ
jayasinh	ಜಯಸಿಂಹ
jayati	ಜಯತಿ
jayendra	ಜಯೇಂದ್ರ
jayeshvar	ಜಯೇಶ್ವರ್
jayita	ಜಯಿತಾ
jayprada	ಜಯಪ್ರದ
jayshree	ಜೈಶ್ರೀ
jaysukh	ಜಯಸುಖ್
jazbaat	ಜಜ್‌ಬಾತ್
jazlynn	ಜಜ್ಲಿನ್
jean bart	ಜೀನ್ ಬಾರ್ಟ್
jeanette	ಜೀನತ್
jeanne	ಜಿಯನ್ನಾ
jecy james	ಜೇಸಿ ಜೇಮ್ಸ್
jeena hai pyar mein	ಜೀನಾ ಹೈ ಪ್ಯಾರ್ ಮೆ
jeena yahan	ಜೀನಾ ಯಹಾ
jeene ki arzoo	ಜೀನೆ ಕಿ ಆರಜೂ
jeete	ಜೀತೆ
jeeva	ಜೀವಾ
jeeval	ಜೀವಲ್
jeevan dhara	ಜೀವನ್ ಧಾರಾ
jeevan naiya	ಜೀವನ್ ನೈಯಾ
jeevan rekha	ಜೀವನ್ ರೇಖಾ
jeevan sathi	ಜೀವನ್ ಸಾಥಿ
jeevan yatra	ಜೀವನ್ ಯಾತ್ರಾ
jeevana	ಜೀವನಾ
jeevankala	ಜೀವನ್‌ಕಲಾ
jeff	ಜೆಫ್
jeff bridges	ಜೆಫ್ ಬ್ರಿಡ್ಜಸ್
jeff moss	ಜೆಫ್ ಮಾಸ್
jeffery	ಜೆಫರಿ
jehan mubarak	ಜೇಹನ್ ಮುಬಾರಕ್
jenaya	ಜೆನೆಯಾ
jenibelle	ಜೆನೀಬೆಲ್ಲಾ
jenn	ಜೆನ್
jenna	ಜೆನ್ನಾ
jennelle	ಜೆನ್ನೆಲ್ಲಿ
jennica	ಜೆನೀಕಾ
jennie	ಜೆನ್ನೀ
jennifer	ಜೆನೀಫರ್
jermaine lawson	ಜರ್ಮೈನ್ ಲಾಸನ್
jerold	ಜೆರೋಲ್ಡ್
jerom	ಜೆರೊಮ್
jerry falwell	ಜೆರಿ ಫಾಲ್ವೆಲ್
jessica	ಜೆಸಿಕಾ
jet-skiing	ಜೆಟ್-ಸ್ಕೀಯಿಂಗ್
jethani	ಜೆಠಾನಿ
jetta	ಜೆಟ್ಟಾ
jewel	ಜ್ವಾಲ್
jewell	ಜೆವಲ್
jhabua	ಜಬುವಾ
jhamela	ಝಮೇಲಾ
jhanak jhanak payal baje	ಝನಕ್ ಝನಕ್ ಪಾಯಲ್ ಬಜೆ
jhansi	ಝಾನ್ಸಿ
jhansi ki rani	ಝಾಂನ್ಸಿ ಕಿ ರಾಣಿ
jhansiwale	ಝಾನ್ಸಿವಾಲೆ
jharkhand	ಜಾರ್ಖಂಡ್
jheel ke us paar	ಝೀಲ್ ಕೆ ಉಸ್ ಪಾರ್
jhinuk	ಝಿನುಕ್
jhitaruraam	ಝಿತರುರಾಮ್
jhoom utha akaash	ಝೂಮ್ ಉಠಾ ಆಕಾಶ್
jhoomer	ಝೂಮರ್
jhoota kahin ka	ಝೂಠಾ ಕಹೀ ಕಾ
jhumroo	ಝುಮರು
jibril	ಜಿಬ್ರಿಲ್
jignesh	ಜಿಗ್ನೇಶ್
jihan	ಜಿಹಾನ್
jilesinh	ಜಿಲೆಸಿಂಹ್
jill	ಜಿಲ್
jim lehrer	ಜಿಮ್ ಲೆಹರರ್
jim stewart	ಜಿಮ್ ಸ್ಟೀವಾರ್ಟ್
jim troughton	ಜಿಮ್ ಟ್ರಾಟನ್
jimmy adams	ಜಿಮ್ಮಿ ಆಡಮ್ಸ್
jimmy cook	ಜಿಮ್ಮಿ ಕುಕ್
jimmy maher	ಜಿಮ್ಮಿ ಮಹೆರ್
jimut	ಜಿಮುತ್
jimuta	ಜಿಮುತಾ
jind	ಜಿಂದ್
jiniteshnar	ಜಿನಿತೇಶನರ್
jirair	ಜಿರೈರ್
jis desh mein ganga behti hai	ಜಿಸ್ ದೇಶ್ ಮೆ ಗಂಗಾ ಬೆಹತಿ ಹೈ
jishnu	ಜಿಶು
jiten_dr	ಜಿತೇಂದ್ರ್
jitterbug	ಜಿಟ್ಟರ್ಬಗ್
jivan	ಜಿವನ್
jnyandeep	ಜ್ಞಾನದೀಪ್
jo angel	ಜೋ ಏಂಜೆಲ್
jo huwa so bhool ja	ಜೋ ಹುವಾ ಸೋ ಭೂಲ್ ಜಾ
joann	ಜೋಆನ್
jock	ಜಾಕ್
jock edwards	ಜಾಕ್ ಎಡ್ವರ್ಡ್ಸ್
jodhpur	ಜೋಧ್ಪುರ
jody	ಜೋಡೀ
joel garner	ಜೋಯಲ್ ಗಾರ್ನರ್
jogi	ಜೋಗಿ
jograj	ಜೋಗ್‌ರಾಜ್
johal	ಜೌಹಲ್
johannesburg	ಜೋಹಾನ್ಸ್ ಬರ್ಗ್
johar	ಜೋಹರ್
johar in kashmir	ಜೋಹರ್ ಇನ್ ಕಾಶ್ಮೀರ್
johar mehmood in goa	ಜೋಹರ್ ಮೆಹಮೂದ್ ಇನ್ ಗೋವಾ
johari	ಜೌಹರಿ
john buchanan	ಜಾನ್ ಬುಚಾನನ್
john denver	ಜಾನ್ ಡೆನ್ವರ್
john f. kennedy	ಜಾನ್ ಎಫ್. ಕೆನಡಿ
john grisham	ಜಾನ್ ಗ್ರಿಶಮ್
john jameson	ಜಾನ್ ಜೇಮ್ಸನ್
john jani janardan	ಜಾನ್ ಜಾನಿ ಜನಾರ್ದನ್
john keats	ಜಾನ್ ಕೀಟ್ಸ್
john kenneth galbraith	ಜಾನ್ ಕೆನೆತ್ ಗಾಲ್ಬ್ರೆಥ್
john lanen	ಜಾನ್ ಲೇನೆನ್
john long	ಜಾನ್‌ಲಾಂಗ್
john maguire	ಜಾನ್ ಮಾಗುರ್
john parker	ಜಾನ್ ಪಾರ್ಕರ್
john popal	ಜಾನ್ ಪೋಪಾಲ್
john rennie	ಜಾನ್ ರೆನ್ನೀ
john traicos	ಜಾನ್ ಟ್ರೈಕೋಸ್
johnny mitchell	ಜಾನಿ ಮಿಚೆಲ್
johny i love you	ಜಾನಿ ಐ ಲವ್ ಯು
jolie	ಜೋಲೀ
jolly	ಜೌಲಿ
jonathan agnew	ಜೋನಾಥನ್ ಆಗ್ನ್ಯೂ
jonty rhodes	ಜಾಂಟಿ ರೋಡ್ಸ್
jorjanna	ಜೋರ್ಜನ್ನಾ
jorn	ಜೋರ್ನ್
joru ka bhai	ಜೋರೂ ಕಾ ಭಾಯಿ
joseph stalin	ಜೋಸೆಫ್ ಸ್ಯಾಲಿನ್
josephat ababu	ಜೊಸೆಫಟ್ ಅಬಬು
joshila	ಜೋಶಿಲಾ
joshilay	ಜೋಶಿಲೆ
josie	ಜೋಸಿ
joul	ಜೌಲ್
journey fellowship	ಜರ್ನಿ ಫೆಲೋಶಿಪ್
jovan	ಜೋವನ್
jowai	ಜೋವೈ
juaari	ಜುವಾರಿ
jubair	ಜುಬೇರ್
jubilant	ಜ್ಯುಬಿಲಿಯಂಟ್
judaai	ಜುದಾಯಿ
judson	ಜುಡ್ಸನ್
juhi	ಜುಹಿ
jui	ಜುಯ್
juily	ಜೂಲೀ
julia child	ಜೂಲಿಯಾ ಚೈಲ್ಡ್
julie	ಜೂಲಿ
juliet	ಜೂಲಿಯಟ್
juliette	ಜೂಲಿಯೆಟ್
juliette binoche	ಚೂಲಿಯಟ್ ಬಿನೋಕ್
julius	ಜುಲಿಯಸ್
july	ಜುಲೈ
jumaynah	ಜುಮನಾ
jump rope	ಜಂಪ್ ರೋಪ್
junagarh	ಜುನಾಗರ್
junayd	ಜುನಾಯದ್
junayd baghdadi	ಜುನಾಯ್ದ್ ಬಗದಾದಿ
june	ಜೂನ್
juneja	ಜುನೇಜಾ
jungle boy	ಜಂಗಲ್ ಬಾಯ್
junior murray	ಜೂನಿಯರ್ ಮುರೇ
juno award	ಜುನೊ ಅವಾರ್ಡ್
junyo	ಜುನ್ಯು
jura	ಜುರಾ
jurmana	ಜುರ್ಮಾನಾ
justine	ಜಸ್ಟೀನ್
juthamah	ಜುಥಮಾಯಿ
juvekar	ಜುವೇಕರ್
jwala	ಜ್ವಾಲಾ
jwala daku	ಜ್ವಾಲಾ ಡಾಕೂ
jwalamukhi	ಜ್ವಾಲಾಮುಖಿ
jwar bhata	ಜ್ವಾರ್ ಭಾಟಾ
jyot jale	ಜ್ಯೋತ್ ಜಲೆ
jyoti yadav	ಜ್ಯೋತಿ ಯಾದವ್
jyotiba phule nagar	ಜ್ಯೋತಿಬಾ ಫುಲೆ ನಗರ್
jyotibala	ಜ್ಯೋತಿಬಾಲಾ
jyotirmoyee	ಜ್ಯೋತಿರ್ಮಯಿ
jyotishmati	ಜ್ಯೋತಿಷ್ಮತಿ
jyotsna	ಜ್ಯೋತ್ಸನಾ
k sera sera	ಕೆ ಸೆರಾ ಸೆರಾ
kaalahar	ಕಾಲಹರ
kaaleecharan	ಕಾಳೀಚರಣ್
kaali	ಕಾಳಿ
kaalia	ಕಾಲಿಯಾ
kaalkunja	ಕಾಲಕುಂಜ
kaaran	ಕಾರಣ್
kaash	ಕಾಶ್
kabeela	ಕಬೀಲಾ
kabhi ajnabi the	ಕಭೀ ಅಜನಬಿ ಥಿ
kabir	ಕಬೀರ್
kabirah	ಕಬೀರಾ
kabul	ಕಾಬುಲ್
kabuli khan	ಕಾಬುಲಿ ಖಾನ್
kabuliwala	ಕಾಬುಲಿವಾಲಾ
kachche heere	ಕಚ್ಚೆ ಹೀರಾ
kacy	ಕೇಸಿ
kadambari	ಕಾದಂಬರಿ
kadambini	ಕದಂಬಿನಿ
kaduthuruthi	ಕಾಡುತುರುತಿ
kael	ಕೇಲ್
kaelem	ಕೇಲೆಮ್
kafila	ಕಫಿಲಾ
kahani hum sab ki	ಕಹಾನಿ ಹಮ್ ಸಬ್ ಕಿ
kahani kismat ki	ಕಹಾನಿ ಕಿಸ್ಮತ್ ಕಿ
kahani phoolvati ki	ಕಹಾನಿ ಪೂಲ್ವತಿ ಕಿ
kaheesha	ಕಹೀಶಾ
