aalto	אלטו
luiz	לויז
luka	לוקא
lukacs	לוקאש
lukas	לוקאס
lukashenko	לוקאשינקו
lukasz	לוקאס
luke	לוק
lukoil	לוקויל
lule	לולי
lulea	לוליא
lumbini	לומביני
lumumba	לומומבא
lundgren	לאנדגרין
lundin	לונדין
lunney	לאני
luol	לואל
lupatelli	לופאטילי
lupe	לופ
lupescu	לופיסקו
lupolianski	לופוליאנסקי
lurie	לורי
lurz	לורז
lusaka	לוסאקא
lushan	לושאן
lussenhoff	לוסינהוף
lutfi	לוטפי
luther	לותר
lutz	לאץ
luxemburg	לוקסמבורג
luxemburgo	לאקסומבורגו
luyindula	לויינדולא
luzzatto	לוזאטו
lviv	לביב
lvov	לבוב
lydia	לידיא
lyman	לימאן
lymari	לימארי
lynch	לינץ'
lyndon	לינדון
lynn	לין
lynndie	לינדי
lynne	לין
lyonnais	ליונה
lyonne	ליון
lyudmila	לודמילא
maamar	מועמר
maariv	מעריב
maarouf	מערוף
maarten	מארטן
maastricht	מאסטריכט
maathai	מאתאי
maaya	מאיא
mabrouk	מברוק
mac	מאק
macala	מאצ'אלא
macanga	מאקאנגא
macapa	מאקאפא
macarthur	מאקארתר
macau	מאקאו
macbride	מאקבראיד
maccabi	מכבי
maccoby	מאקובי
macdiarmid	מאקדירמיד
macdonald	מאקדונאלד
macdowell	מאקדאול
maceio	מאסיו
macfadyen	מאקפאדין
machaalani	משעלאני
machine	מאשין
machlas	מאצ'לאס
macho	מאצ'ו
macias	מאסיאס
maciej	מאסיג'
mack	מאק
mackinnon	מאקינון
maclaine	מאקליין
macmillan	מאקמילאן
madame	מדאם
madanchi	מעדנצ'י
madani	מדני
maddah	מדאח
maddalena	מאדאלינא
madeira	מאדירא
madeleine	מאדלין
madelung	מאדלונג
maderno	מאדירנו
madison	מאדיסן
madjer	מאג'ר
madonna	מאדונא
madono	מאדונו
madrasah	מדרסה
madre	מאדרי
madrid	מדריד
madruzzo	מאדרוצו
madsen	מאדסן
maeda	מאידא
maezono	מייזונו
magalhaes	מאגאלהאיז
magath	מאגאת
magda	מאגדה
magdeburg	מאגדיבורג
magdi	מגדי
magellan	מאגלאן
maggie	מאגי
maghreb	מאגרב
magic	מאג'יק
magid	מגיד
magister	מאג'יסטר
magnificat	מאניפיקאט
magnin	מאגנין
magno	מאגנו
magnus	מאגנוס
magog	מגוג
magomedov	מאגומידוב
maguire	מאגואיר
mahabharata	מהאבהאראטא
mahal	מחל
mahalia	מאהאליא
mahamadou	מחמדו
maharashtra	מאהאראשטרא
mahdavikia	מהדאוויקיא
mahdi	מהדי
mahdoufi	מחתופי
maher	מאהר
mahesh	מאהש
mahfouz	מחפוז
mahler	מאהלר
mahmoud	מחמוד
mahmud	מחמוד
mahr	מאר
mahrous	מחרוס
mahut	מאהוט
mahyadi	מאהיאדי
mai	מאי
maia	מאיא
maidin	מאידן
maier	מאיר
maiga	מאיגא
maik	מאיק
maillart	מאילארט
maillet	מיילט
maillol	מאיול
maimon	מאימון
maine	מיין
mainz	מיינז
mairead	מיריד
majalli	מג'לי
majdi	מג'די
majed	מג'ד
majeed	מג'יד
majewski	מאג'וסקי
major	מייגו'ר
majorca	מאיורקא
majorelle	מאג'וריל
majstorovic	מאיסטרוביטש
majus	מג'וס
makaay	מקאי
makarios	מקאריוס
makasa	מאקאסא
makassar	מאקאסאר
makdisi	מקדיסי
maki	מאקי
makinwa	מאקינוא
makonnen	מאקונין
makoto	מאקוטו
makoun	מאקון
maksim	מאקסים
malaga	מאלאגא
malakian	מלקיאן
malakouti	מאלאקוטי
malal	מלאל
malalai	מלאלאי
malaren	מאלארין
malatesta	מאלאטיסטא
malawi	מאלאוי
malaysia	מאלייז'א
malbranque	מאלבראנק
malchiel	מלכיאל
malcolm	מאלקולם
maldera	מאלדירא
maldini	מאלדיני
maldives	מאלדאיבז
maldonado	מאלדונאדו
malek	מאלק
malevich	מאליביטש
malfoy	מאלפוי
malick	מאליק
malik	מאליק
malin	מאלין
malisse	מאליסה
malivai	מאליבאי
malkhaz	מאלכאז
malkin	מאלקין
malko	מאלקו
malloum	מעלום
mallya	מאליא
malmo	מאלמו
malone	מאלון
malot	מאלו
malouda	מאלודא
malta	מאלטא
maltese	מאלטיז
mamadou	מאמאדו
mamady	מאמאדי
mamdouh	ממדוח
mamet	מאמט
mami	מאמי
mamiko	מאמיקו
mamluk	ממלוק
mammeri	מעמרי
mamo	מאמו
mamoru	מאמורו
manaf	מנאף
managua	מאנאגוא
manama	מנאמה
mancini	מאנשיני
manda	מאנדא
mandala	מאנדאלא
mandanda	מאנדאנדא
mandi	מאנדי
mandola	מאנדולא
mandriva	מאנדריבא
mandy	מאנדי
manea	מאניע
maneiro	מאניירו
manet	מאנה
manfred	מאנפרד
manfredonia	מאנפרידוניא
manga	מאנגה
mangnall	מאנגנאל
manhattan	מאנהאטן
maniche	מאניש
manitoba	מאניטובא
manmohan	מאנמוהאן
mann	מן
mannheim	מאנהאים
mannin	מאנין
manning	מאנינג
manninger	מאנינגר
manolete	מאנוליטי
manouchehr	מנוצ'הר
mansare	מאנסארי
mansfield	מאנספילד
mansour	מנסור
mansouri	מנסורי
mantell	מאנטל
manu	מאנו
manuel	מאנויל
manuele	מאנויל
manzoni	מאנזוני
maozhen	מואז'ן
mapai	מפאי
maqam	מקאם
maqluba	מקלובה
mara	מרה
marach	מאראצ'
maranhao	מאראנהאו
marat	מאראט
marathon	מאראתון
marbrook	מרברוק
marbury	מארבורי
marc	מארק
marcel	מארסל
marcelino	מארסילינו
marcell	מארסיל
marcello	מארצ'לו
marcelo	מארטצ'לו
marchena	מארצ'ינא
marchetto	מארקיטו
marcia	מארסיא
marciano	מארסיאנו
marcin	מארצן
marco	מארקו
marcomanni	מארקומאני
marconi	מארקוני
marcos	מארקוס
marcus	מארקוס
marcuse	מארקוז
mardi	מארדי
mardy	מארדי
marek	מאריק
maresca	מאריסקא
margaret	מארגריט
margarete	מארגרט
margherita	מארגריטא
mari	מארי
maria	מאריא
marian	מאריאן
mariana	מאריאנא
marianne	מאריאן
mariano	מאריאנו
marias	מאריאס
maric	מאריק
marica	מאריקא
marie	מארי
mariette	מארייט
marilyn	מארילין
marin	מארין
marina	מארינא
marinca	מארינקא
mariner	מארינר
marinetti	מאריניטי
marino	מארינו
mario	מאריו
marion	מאריון
mariot	מאריוט
maris	מאריס
marisa	מאריסא
mariupol	מאריופול
marius	מאריוס
marjane	מרג'אן
mark	מארק
marketa	מארקיטא
markku	מארקו
marko	מארקו
marks	מארקס
markus	מארקוס
marlborough	מארלבורו
marlee	מארלי
marlene	מארלין
marley	מארלי
marlon	מארלון
maroc	מארוק
marois	מארוא
marom	מרום
maron	מארון
marouf	מערוף
maroun	מארון
marques	מארקיס
marquez	מארקיז
marrakchi	מראקשי
marriner	מארינר
marsden	מארסדן
marshall	מארשאל
mart	מארט
marta	מארטא
martelli	מארטילי
martens	מארטינז
martha	מארתא
martien	מארטין
martin	מארטן
martina	מארטינא
martinelli	מארטינילי
martinez	מארטיניז
martins	מארטינז
marton	מארטן
martov	מארטוב
martti	מארטי
marulanda	מארולאנדא
marwahin	מרווחין
marwan	מרואן
marx	מארקס
mary	מרי
maryam	מריאם
maryan	מאריאן
maryland	מארילאנד
marzel	מארזל
marzouk	מרזוק
marzouq	מרזוק
masaaki	מאסאקי
masaccio	מאסאצ'ו
masahiro	מאסאהירו
masai	מאסאי
masakazu	מאסאקאזו
masaki	מאסאקי
masakiyo	מאסאקיו
masako	מאסאקו
masami	מאסאמי
masaru	מאסארו
masaryk	מאזאריק
masashi	מאסאשי
masaya	מאסאיא
masayoshi	מאסאיושי
mascherano	מאסקיראנו
maserati	מסיראטי
mashal	משעל
masharawi	משהראוי
mashego	מאשיגו
mashhad	משהד
mashhur	משהור
mashrabiya	משרביה
masi	מאסי
masilela	מאסילילא
masing	מאסינג
masinga	מאסינגא
maskhadov	מסכאדוב
maslachenko	מאסלאצ'נקו
maslow	מאסלו
masny	מאסני
masopust	מאסופסט
masoud	מסעוד
massa	מאסא
massad	מסעד
massamasso	מאסאמאסו
massari	מסארי
massaro	מסארו
massawa	מאסאוע
massey	מאסי
massi	מאסי
massimo	מאסימו
massoud	מסעוד
masuda	מאסודא
masudi	מאסודי
matadi	מאטאדי
matar	מטר
mate	מאטי
matejovsky	מאטיובסקי
mateo	מאטיו
materazzi	מאטיראצי
mateut	מאטיוט
mathieu	מאטיו
mathijsen	מאתיסן
mati	מאטי
matias	מאטיאס
matilda	מאטילדא
matisse	מאטיס
matlin	מאטלין
mato	מאטו
matovinovic	מאטובינוביטש
matrai	מאטראי
mats	מאטס
matsuda	מאטסודא
matsui	מאטסוי
matsukata	מאטסוקאטא
matsukaze	מאטסקאזי
matsumoto	מאטסומוטו
matsuo	מאטסוו
matsuoka	מאטסוקא
matsushita	מאטסושיטא
matsuzawa	מאטסוזאוא
matt	מאט
matteo	מאטאו
matthaus	מאטאוס
matthew	מאתיו
matthias	מאטיאס
matti	מאטי
matty	מאטי
matus	מאטוס
matviyenko	מאטביינקו
matyas	מאטיאס
matza	מצה
maura	מורא
maureen	מורין
maurer	מורר
mauri	מורי
mauriac	מוריאק
maurice	מוריס
mauricio	מוריסיו
mauritania	מוריטייניא
maurizio	מוריזיו
mauro	מאורו
mauroy	מורוי
mauss	מאוס
mavros	מאברוס
max	מאקס
maxfield	מאקספילד
maxi	מאקסי
maxim	מקסים
maxime	מאקסים
maximilian	מאקסימיליאן
maximilien	מאקסמליאן
maximus	מקסימוס
maxwell	מאקסויל
may	מיי
maya	מאיא
mayakovsky	מאיאקובסקי
maybach	מייבאך
mayer	מאיר
mayne	מיין
mayumi	מאיומי
mazar	מזאר
mazarin	מאזארין
mazda	מאזדא
mazhar	מזהר
mazinho	מאזינהו
maziq	מאזיק
mazloum	מזלום
mazowiecki	מאזויקי
mazut	מאזוט
mazuz	מאזוז
mazzola	מאצולא
mbabane	מבאבאן
mbamba	מבאמבא
mbeki	מביקי
mbia	מביא
mbida	מבידא
mbo	מבו
mboma	מבומא
mbuyane	מבויאן
mcavoy	מקאבוי
mcbeal	מקביל
mcbride	מקבראיד
mccallany	מקאלאני
mccann	מקאן
mccarthy	מקארתי
mccartney	מקארטני
mcclair	מקליר
mccoist	מקויסט
mcconaughey	מאקונאהי
mccormick	מאקורמיק
mccracken	מקראקין
mcdaniel	מקדאניאל
mcdermott	מקדירמוט
mcdonnell	מקדוניל
mcdormand	מקדורמאנד
mcgrady	מקגריידי
mcgraw	מאקגראו
mcguinness	מאקגינס
mcindoe	מאקינדו
mckenna	מאקקינא
mckimson	מקימסון
mclachlan	מקלאקלאן
mclaren	מאקלארין
mclean	מקלין
mcmahon	מקמאהון
mcmanaman	מאקמאנאמאן
mcmillan	מאקמילאן
mcnab	מאקנאב
mcneil	מקניל
mcneill	מקניל
mcqueen	מאקקוין
mcstay	מקסטיי
mctiernan	מקטירנאן
mdledle	מדלידלי
meade	מיד
meazza	מיאצא
mechner	מקנר
meciar	מיצ'יאר
medan	מידאן
medawar	מדוור
medellin	מידילין
medvedev	מידבידיב
mee	מי
meeno	מינו
meeuws	מיוס
meg	מיג
mega	מגא
megabyte	מיגאבאיט
megalith	מיגלית
megalodon	מיגאלודון
meghni	מגני
megiddo	מגידו
mehaidli	מחידלי
mehanna	מהנא
mehdi	מהדי
mehlis	מיליס
mehmed	מחמד
mehran	מהראן
mehrdad	מהרדאד
mehri	מהרי
mehrzad	מהרזאד
meidani	מידאני
meier	מאיר
meiji	מייג'י
mein	מיין
meireles	מירילס
meissen	מיסן
mejdi	מג'די
mekan	מקאן
mekawy	מקאוי
mekorot	מקורות
mel	מל
melamed	מלמד
melanie	מילאני
melbourne	מלבורן
melchior	מלקיור
melhem	מלחם
melho	מלחו
melinda	מלינדא
melissa	מליסיא
meliton	מיליטון
melki	מלקי
mellberg	מלבירג
meller	מילר
mellouli	מלולי
melo	מילו
melora	מילורא
melpomene	מילפומיני
melrose	מלרוז
melvil	מלביל
melville	מילביל
melvin	מלווין
memering	מימירנג
memphis	ממפיס
men	מן
mena	מנא
menachem	מנחם
menchu	מנצ'ו
mendeleev	מנדלייב
mendelsohn	מנדלסון
mendelssohn	מנדלסון
menderes	מנדיריס
mendes	מינדיס
mendez	מינדיז
mendonca	מנדונקא
mendoza	מנדוזא
mendy	מנדי
menegazzo	מיניגאזו
menem	מנעם
menendez	מינינדיז
menezes	מיניזיס
mengele	מנגלה
menichelli	מניקילי
meno	מינו
mensah	מינסאה
mental	מינטאל
menzo	מינזו
mer	מר
merbah	מרבאח
mercator	מירקאטור
mercedes	מרסידס
mercosur	מירקוסור
mercure	מירקיור
mercury	מירקורי
meriah	מריאח
meridor	מרידור
merieme	מריאם
merk	מירק
merkaz	מרכז
merkel	מירקל
merneptah	מרנפטאח
mernissi	מרניסי
meron	מירון
mersenne	מירסין
mertesacker	מירטסאקר
merton	מירטון
mervyn	מירבין
meryl	מיריל
mesa	מסא
mesbah	מסבאח
meshir	משיר
meshulam	משולם
meskhi	מיסכי
mesrob	מסרוב
messali	מסאלי
messi	מסי
messier	מסייה
messina	מסינא
mesut	מיסוט
meszoly	מיסזולי
metallica	מיטאליקא
metgod	מיטגוד
methane	מיתיין
metin	מיטן
metreveli	מיטריבילי
metropolitana	מטרופוליטאנא
metsu	מיטסו
mettomo	מיטומו
metwalli	מטוואלי
metzelder	מצלדר
metzger	מצגר
metzudat	מצודת
meucci	מיוצ'י
meutstege	מוטסטיג
mevo	מיבו
mexes	מקסיס
mexico	מקסיקו
mey	מיי
meynieu	מייניו
meyrieu	מיריו
mezey	מיזי
mezzogiorno	מידזוגורנו
mhlongo	מהלונגו
mia	מיא
micah	מיקה
michael	מאיקל
michaels	מאיקלז
michal	מיקאל
michel	מישל
michelangelo	מאיקלאנג'ילו
michelet	מישליט
michelle	מישל
micheľ	מיכיל
michigan	מישיגאן
michiru	מיטשירו
mick	מיק
mickael	מקאיל
mickey	מיקי
micky	מיקי
micoud	מיקו
microsoft	מאיקרוסופט
middendorf	מידנדורף
middleton	מידלטון
midler	מידלר
midori	מידורי
midorikawa	מידוריקאוא
miescher	מישר
mignogna	מיניונא
migron	מיגרון
miguel	מיגל
migueli	מיגוילי
mihai	מיהאי
mihail	מיהאיל
mihajlovic	מיהאילוביטש
mika	מיקא
mikael	מיקאיל
mikari	מיקארי
mikati	מיקאטי
mike	מאיק
mikel	מיקל
mikey	מאיקי
mikhail	מיכאיל
mikheil	מיכאיל
miki	מיקי
mikimoto	מיקימוטו
mikio	מיקיו
mikis	מיקיס
mikkel	מיקל
mikko	מיקו
miklos	מיקלוס
mikoyan	מיקויאן
mikulas	מיקולאס
mil	מיל
mila	מילא
milad	מילאד
miladinovic	מילאדינוביטש
milan	מילאן
milano	מילאנו
milburn	מילבורן
mildred	מילדריד
mile	מיל
milenko	מילנקו
miles	מאילז
miletus	מיליטוס
mileva	מיליבא
miley	מאילי
milford	מילפורד
mili	מילי
miliband	מיליבאנד
milito	מיליטו
miljan	מיליאן
miljanic	מילאניטש
miljoona	מילג'ונא
milka	מילקא
mill	מיל
milla	מילא
millard	מילארד
millecamps	מיליקאמפס
miller	מילר
milli	מילי
millichip	מיליצ'יפ
milligan	מיליגאן
mills	מילז
milner	מילנר
milo	מאילו
milorad	מילוראד
milos	מילוש
milosevic	מילוסיביטש
milosz	מילוש
miloud	מילוד
milt	מילט
milton	מילטון
milutin	מילוטין
milutinovic	מילוטינוביטש
milva	מילבא
mimi	מימי
mimoun	מימון
mimouna	מימונה
mimouni	מימוני
mina	מינא
minagawa	מינאגאוא
minambres	מינאמבריס
minami	מינאמי
minamoto	מינאמוטו
minar	מינאר
minavand	מינאואנד
minerva	מינרבא
ming	מינג
mingyi	מינגי
mingyu	מינגיו
minh	מין
minix	מיניקס
minkowski	מינקובסקי
minnesota	מיניסוטא
minnie	מיני
minobe	מיינוב
minor	מינור
minorca	מינורקא
minoru	מינורו
minot	מינוט
minoungou	מינונגו
minsk	מינסק
mintoff	מינטוף
mintz	מינץ
miodrag	מיודראג
mira	מירא
miralem	מיראלם
miran	מיראן
miranda	מיראנדא
mirbeau	מירבו
mircea	מירסיא
mireille	מיריי
mirek	מיריק
mirel	מירל
miri	מירי
miriam	מיריאם
mirjalol	מירג'לול
mirko	מירקו
mirnyi	מירני
miro	מירו
miron	מירון
miroslav	מירוסלאב
mirsad	מירסאד
mirsadeghi	מירסאדקי
mischa	מישא
mishima	מישימא
miskito	מיסקיטו
missaoui	מיסאוי
mississauga	מיסיסוגא
mississippi	מיסיסיפי
mistral	מיסטראל
mit	מיט
mitanni	מיטאני
mitch	מיטש
mitchell	מיטשל
mite	מאיט
mitic	מיטיטש
mitnick	מיטניק
mitoraj	מיטוראי
mitropoulos	מיטרופולוס
mitsuaki	מיטסואקי
mitsubishi	מיטסובישי
mitsumasa	מיטסומאסא
mitsumune	מיטסומוני
mitsuo	מיטסו
mitt	מיט
mittal	מיטאל
mitterrand	מיטיראן
mitzpe	מצפה
miura	מיורא
miyake	מיאקי
miyamoto	מיאמוטו
miyano	מיאנו
miyata	מיאטא
miyazaki	מיאזאקי
miyazawa	מיאזאוא
miyu	מיו
miyuki	מיוקי
mizoram	מיזוראם
mizrahi	מזרחי
mizuki	מיזוקי
mizuno	מיזונו
mizushima	מיזושימא
mjallby	מג'אלבי
mkhalele	מכאללה
mladen	מלאדן
mladic	מלאדיטש
mladinic	מלאדיניטש
mlađan	מלאדיאן
mnari	מנארי
mndez	מנדיז
mngomeni	מנגומיני
moawad	מועואד
mobali	מובעלי
mobius	מוביוס
mobley	מובלי
mobutu	מובוטו
moby	מובי
moctezuma	מוקטיזומא
modena	מודנה
moder	מודר
modi	מודי
modiri	מודירי
modise	מודיסי
modou	מודו
modric	מודריטש
moeneeb	מוניב
moggi	מודג'י
moglen	מוגלין
mohaisen	מוחייסן
mohajerani	מוהאג'ראני
mohamed	מוחמד
mohammad	מוחמד
mohammadou	מוחמדו
mohs	מוס
mohsen	מוחסן
moisiu	מויסיו
moizan	מויזאן
mokdad	מוקדאד
mokhtar	מוחטאר
mokhtari	מוחטארי
mokoena	מוקוינא
molby	מולבי
moldova	מולדובא
moldovan	מולדובאן
moliere	מולייר
molina	מולינא
molla	מולא
mollemann	מולימאן
moller	מולר
molnar	מולנאר
mombasa	מומבאסא
momcilo	מומסילו
mommens	מומנז
mommsen	מומסן
mona	מונא
monaco	מונאקו
monaghan	מונאגאן
moncayo	מונקאיו
mond	מונד
monde	מונד
mondrian	מונדריאן
moneo	מוניו
monfils	מונפיס
monge	מונג
mongi	מונגי
mongke	מונקי
monica	מוניקא
moniz	מוניז
mononoke	מונונוק
monroe	מונרו
monrovia	מונרוביא
monsef	מונסף
montagnier	מונטאנייה
montague	מונטאגיו
montale	מונטאלי
montana	מונטאנא
montand	מונטאן
montasser	מונתסר
montcourt	מונטקורט
monte	מונטי
monteiro	מונטירו
montenegro	מונטיניגרו
montero	מונטירו
monterrey	מונטיריי
monterroso	מונטירוסו
montessori	מונטיסורי
monteverdi	מונטיבירדי
montevideo	מונטיבידיו
montez	מונטיז
montgomery	מונטגומרי
monti	מונטי
montmartre	מונטמארטר
montolivo	מונטוליבו
montparnasse	מונפארנאס
montpellier	מונפילייה
montt	מונט
monty	מונטי
monza	מונזא
moore	מור
moradi	מוראדי
morales	מוראליס
moran	מוראן
moratti	מוראטי
moravcik	מוראבצ'יק
moravia	מוראביא
mordechai	מורדכי
mordor	מורדור
more	מור
moreau	מורו
morell	מוריל
morello	מורילו
moreno	מורינו
moresby	מורסבי
moretti	מוריטי
morgenstern	מורגנסטירן
morgner	מורגנר
mori	מורי
morientes	מוריאנטס
morihei	מוריהיי
morihiro	מוריהירו
morikawa	מוריקאוא
morikubo	מוריקובו
morin	מורין
morini	מוריני
moriri	מורירי
morishima	מורישימא
morissette	מוריסיט
morita	מוריטא
moritz	מוריץ
morjane	מורג'יין
morley	מורלי
moro	מורו
morozevich	מורוזיביטש
morozov	מורוזוב
morphy	מורפי
morrell	מורל
morricone	מוריקוני
morris	מוריס
morrison	מוריסון
morro	מורו
morrow	מורו
morse	מורס
morte	מורטי
morten	מורטן
mortensen	מורטינסין
morton	מורטן
mosa	מוסא
mosab	מוסעב
mosaddeq	מוסאדק
moscoso	מוסקוסו
moseley	מוזלי
moshav	מושב
moshe	משה
moshoeu	מושיו
mosisili	מוסיסילי
moslem	מוסלם
mosley	מוזלי
moss	מוס
mosteghanemi	מוסטגאנמי
mosul	מוסול
motahhari	מוטהרי
moteab	מוטעב
moti	מוטי
motoko	מוטוקו
motran	מוטראן
motta	מוטא
motti	מוטי
mottram	מוטראם
mouath	מועאת
mouloud	מולוד
moumouni	מומוני
mounier	מוניר
mourad	מוראד
mourid	מוריד
mourinho	מורינהו
moussa	מוסא
moutinho	מוטינהו
mouynet	מויניט
mozambique	מוזאמביק
mphela	מפילא
mpumalanga	מפומאלאנגא
mr.	מיסטר
msarri	מסארי
mstislav	מסטיסלאב
mt	מט
muammar	מועמר
mubarak	מובארק
mubarek	מובארק
mudar	מודאר
mudhafar	מוזפר
mudi	מודי
mudingayi	מודינגאי
mudrik	מודריק
mugabe	מוגאבי
mughrabi	מוגרבי
mugihito	מוגיהיטו
muhamed	מוחמד
muhammadu	מוחמדו
muhammed	מוחמד
muharram	מוחארם
muhren	מוהרן
muin	מועין
muir	מויר
mukasey	מוקייזי
mukerji	מוקרג'י
mula	מולא
mulan	מולאן
mulenga	מולינגא
mulilo	מולילו
mulla	מולא
mullery	מולרי
mullis	מוליס
multatuli	מולטאטולי
mumbai	מומבאי
mumtaz	מומטאז
munaron	מונארון
munch	מונק
mundell	מאנדל
munich	מיוניך
munir	מוניר
munitis	מונאיטיס
munk	מנק
munoz	מונוז
munro	מונרו
munster	מונסטר
muntasser	מונתסר
munteanu	מונטינו
muntyan	מונטיאן
murad	מוראד
murakami	מוראקאמי
murano	מוראנו
murasaki	מוראסאקי
murawski	מוראוסקי
murayama	מוראיאמא
murcutt	מורקוט
murdoch	מורדוק
murdock	מרדוק
muren	מורן
muriel	מוריאל
murphy	מירפי
murray	מרי
mursal	מורסאל
murtala	מורטאלא
murtaz	מורטאז
murty	מורטי
musa	מוסא
musampa	מוסאמפא
muscat	מוסקאט
musemic	מוסימיטש
musharraf	מושארף
muslim	מוסלים
muslin	מוסלין
musonda	מוסונדא
musso	מוסו
mustafa	מוסטפא
mutal	מוטאל
mutarelli	מוטארילי
muti	מוטי
mutiu	מוטיו
mutran	מוטראן
mutu	מוטו
muwanga	מוואנגא
muzdalifah	מוזדליפה
muzinic	מוזיניטש
mwai	מואי
mwanza	מואנזא
mwaruwari	מוארווארי
mweene	מויני
myanmar	מיאנמאר
mykhaylychenko	מיכאליטשינקו
mykolaiv	מיקולאיב
mykonos	מיקונוס
myles	מאילז
myra	מאירא
myrdal	מירדאל
myriam	מיריאם
myskina	מיסקינא
myspace	מאיספייס
mytilene	מיטילין
mzali	מזאלי
naan	נאן
nabatame	נאבאטאמי
nabeel	נביל
nabih	נאבי
nabil	נביל
nacer	נאסר
nachbar	נאכבאר
nachshon	נחשון
nada	נאדא
nadal	נאדאל
nadav	נדב
nader	ניידר
nadia	נאדיא
nadim	נדים
nadine	ניידין
nadir	נדיר
naeim	נעים
naelson	ניילסון
nafa	נפאע
nafi	נאפי
nafti	נפטי
nagai	נאגאי
nagaland	נאגאלאנד
nagano	נאגאנו
nagi	נאגי
nagma	נאגמא
nagui	נאגי
naguib	נגיב
nahal	נחל
nahariya	נהריה
nahla	נחלה
nahman	נחמן
nahnah	נחנאח
nahuatl	נאהואטל
nahum	נחום
nahyan	נאהיאן
naif	נאיף
naihoum	נאיהום
naik	נאיק
naismith	נייסמית
najah	נג'אח
naji	נאג'י
najib	נג'יב
naka	נאקא
nakache	נקאש
nakagawa	נאקאגאוא
nakahara	נאקאהארא
nakai	נאקאי
nakamatsu	נאקאמאצו
nakamura	נאקאמורא
nakao	נאקאו
nakasone	נאקאסונה
nakata	נאקאטא
nakayama	נאקאיאמא
nakazawa	נאקאזאוא
nakshawani	נאקשוואני
nalbandian	נאלבאנדיאן
nambaryn	נאמבארין
nambu	נאמבו
namie	נאמי
nan	נאן
nana	נאנא
nanbudo	נאנבודו
nancy	נאנסי
nandor	נאנדור
nani	נאני
nanninga	נאנינגא
nansen	נאנסן
nantes	נאנטס
naohiro	נאוהירו
naoki	נאוקי
naoko	נאוקו
naomi	נעמי
naor	נאור
naotake	נאוטאקי
naphtali	נפתלי
naples	נאפלס
napolitano	נאפוליטאנו
naqqash	נקאש
nara	נארא
narazaki	נאראזאקי
narendra	נארינדרא
narey	נארי
narimene	נארימן
narita	נאריטא
narmer	נארמר
narongchai	נארונגצ'אי
narriman	נארימאן
nasdaq	נאסדאק
naseem	נאסים
naseer	נסיר
naser	נאסר
nash	נאש
nasheed	נאשיד
nashef	נאשף
nasib	נסיב
nasief	נאסיף
nasim	נסים
nasir	נאסיר
nasr	נסר
nasra	נסרה
nasrallah	נסראללה
nasreddin	נאסראדין
nasri	נסרי
nassar	נסאר
nasser	נאסר
nassim	נאסים
nasyrow	נסירוב
nat	נאט
natacha	נאטאשא
natale	נאטאלי
natalia	נאטאליא
natalie	נאטאלי
natanz	נאטאנז
natasa	נאטאסא
natasha	נאטאשא
nathalie	נאטאלי
nathan	נייתן
nathaniel	נאתאניאל
nathanson	נייתנסון
nativ	נתיב
nato	נאטו
natsume	נאטסומה
nattaporn	נאטאפורן
naumann	נאומאן
nauseb	נאוסב
navarre	נאבאר
navarro	נאבארו
navas	נאבאס
naveen	נאבין
naveh	נוה
navon	נבון
nawaz	נאואז
nawel	נואל
nayef	נאיף
naysmith	נייסמית
nazar	נזאר
nazem	נאזם
nazif	נזיף
nazik	נאזיק
nazim	נאזים
nazis	נאציז
nazli	נאזלי
ndadaye	נדאדאי
ndao	נדאו
ndikumana	נדיקומאנא
neal	ניל
neaman	ניעמאן
nebahat	נבאהט
nebraska	נבראסקא
ned	נד
neda	נדא
nedum	נידום
nedved	נדביד
neeman	נימאן
neeskens	ניסקינז
neeson	ניסון
nefertiti	נפרטיטי
nehoda	ניהודא
nehru	נהרו
neil	ניל
neill	ניל
nein	נאין
neira	ניירא
nekounam	נקונאם
nellis	ניליס
nelly	נלי
nelo	נילו
nelsen	נלסן
nelson	נלסון
nemanja	נימאניא
nemec	נימיטש
nemo	נמו
nenad	נינאד
nene	ניני
neot	ניות
nepal	נפאל
neptune	ניפטון
nereo	ניריו
neri	נירי
nermin	נרמין
nernst	נרנסט
nero	נירו
neruda	נירודא
nery	נירי
nessim	נסים
nesterov	נסטרוב
nestor	נסטור
netafim	נטפים
netanyahu	נوניהו
netivot	נתיבות
netolicka	ניטוליקא
netto	ניטו
neumann	נוימאן
neuville	נוביל
nevada	ניבאדא
neves	ניביס
neveu	נובו
neville	נוויל
new	ניו
newman	ניומאן
newsted	ניוסטד
newtown	ניוטאון
ney	ניי
nezami	נזאמי
ngatjizeko	נגאטג'זיקו
nhlapo	נהאלפו
niall	ניאל
niamey	ניאמי
niang	ניאנג
nicanor	ניקאנור
niccolo	ניקולו
nice	ניס
nick	ניק
nicklas	ניקלאס
nicky	ניקי
niclas	ניקלאס
nico	ניקו
nicola	ניקולא
nicolae	ניקולאי
nicolas	ניקולאס
nicole	ניקול
nicolet	ניקולה
nicolita	ניוקליטא
nicolo	ניקולו
niculae	ניקוליי
nidal	נידאל
nielsen	נילסן
nieminen	ניימינין
niemoller	נימולר
niepce	ניפס
niflheim	ניפלהאים
nigam	ניגאם
nigel	נאיג'ל
nigeria	נאיג'יריא
nightingale	נאיטינגייל
nighy	נאי
nihat	ניהאט
niigaki	ניגאקי
nik	ניק
nikki	ניקי
niklas	ניקלאס
