AACHEN	아헨
GIZA	기자
GJELLERUP	기엘레루프
GLADKOV	글랏코프
GLADSTONE	글래드스턴
GLADYS	글라이디스
GLASER	글레이저
GLASGOW	글래스고
GLASPELL	글래스펠
GLASS	글라스
GLAUBER	글라우버
GLAZUNOV	글라주노프
GLEIM	글라임
GLEIZES	글레이즈
GLEMP	글렘프
GLEN	글렌
GLENDA	글렌다
GLENDALE	글렌데일
GLENN	글렌
GLEYSTEEN	글라이스틴
GLICKMAN	글리크먼
GLORIA	글로리아
GLOUCESTER	글로스터
GLOVER	글로버
GLUCK	글루크
GNEISENAU	그나이제나우
GNEIST	그나이스트
GOA	고아
GOBAT	고바
GOBI	고비
GOBINEAU	고비노
GODARD	고다르
GODDARD	고더드
GODFREY	고드프리
GODWIN	고드윈
GOEBEL	괴벨
GOES	구스
GOETHALS	고설스
GOETHE	괴테
GOFFMAN	고프먼
GOGARTEN	고가르텐
GOGH	고흐
GOGOL	고골리
GOKHALE	고칼레
GOLD	골드
GOLDBECK	골드벡
GOLDBERG	골드버그
GOLDEN	골든
GOLDIE	골디
GOLDIN	골딘
GOLDING	골딩
GOLDMAN	골드망
GOLDMANN	골드만
GOLDONI	골도니
GOLDSCHMIDT	골트슈미트
GOLDSMITH	골드스미스
GOLDSTEIN	골드스타인
GOLDSWORTHY	골즈워디
GOLDWYN	골드윈
GOLGI	골지
GOMBRICH	곰브리치
GOMES	고메스
GOMPERS	곰퍼스
GOMULKA	고무우카
GONCHAROV	곤차로프
GONCOURT	공쿠르
GONSALVES	곤살베스
GONZALES	곤살레스
GONZALEZ	곤살레스
GONZALO	곤살로
GOOCH	구치
GOODE	구드
GOODMAN	굿맨
GOODNOW	굿노우
GOODWIN	굿윈
GOODYEAR	굿이어
GORBACHEV	고르바초프
GORCHAKOV	고르차코프
GORDIMER	고디머
GORDON	고든
GORE	고어
GORKY	고키
GORTER	고르테르
GOSSE	고스
GOSSEC	고세크
GOSSEN	고센
GOSSET	고셋
GOTH	고트
GOTTFRIED	고트프리트
GOTTHELF	고트헬프
GOTTLIEB	고틀리브
GOTTLOB	고틀로프
GOTTSCHED	고트셰트
GOTTWALD	고트발트
GOUGH	고푸
GOUJON	구종
GOULD	굴드
GOULED	굴레드
GOUNOD	구노
GOWER	가워
GOZZI	고치
GOZZOLI	고촐리
GRAAF	그라프
GRACCHUS	그라쿠스
GRACE	그라스
GRAF	그라프
GRAHAM	그레이엄
GRAHAME	그레이엄
GRAMME	그람
GRAMSCI	그람시
GRANADA	그라나다
GRANET	그라네
GRANIT	그라니트
GRANT	그랜트
GRASS	그라스
GRASSMANN	그라스만
GRAU	그라우
GRAVATT	그라바트
GRAVES	그라브산
GRAY	그레이
GRECO	그레코
GREECE	그리스
GREELY	그릴리
GREEN	그린
GREENE	그린
GREENLAND	그린란드
GREENSPAN	그린스펀
GREENVILLE	그린빌
GREER	그리어
GREG	그레그
GREGG	그레그
GREGOR	그레고르
GREGORIO	그레고리오
GREGORIUS	그레고리우스
GREGORY	그레고리
GREIN	그라인
GREKOV	그레코프
GRENADA	그레나다
GRENFELL	그렌펠
GRENVILLE	그렌빌
GRESHAM	그레셤
GREUZE	그뢰즈
GREW	그루
GREY	그레이
GRIEG	그리그
GRIFFIN	그리핀
GRIFFIS	그리피스
GRIFFITH	그리피스
GRIGOROVICH	그리고로비치
GRILLPARZER	그릴파르처
GRIMM	그림
GRIMMELSHAUSEN	그리멜스하우젠
GRIS	그리스
GROETHUYSEN	그레튀쟁
GROMAIRE	그로메르
GROMYKO	그로미코
GROOM	그룸
GROPIUS	그로피우스
GROS	그로
GROSSE	그로세
GROSSI	그로시
GROSSMAN	그로스먼
GROSZ	그로스
GROTE	그로트
GROTEWOHL	그로테볼
GROTH	그로트
GROTIUS	그로티우스
GROVE	그로브
GROZA	그로자
GRYPHIUS	그리피우스
GUADALAJARA	과달라하라
GUADALCANAL	과달카날
GUADALUPE	과달루페
GUAM	괌
GUARDI	과르디
GUARDINI	과르디니
GUARINI	과리니
GUARINO	과리노
GUARNIERI	과르니에리
GUATEMALA	과테말라
GUAYAQUIL	과야킬
GUDRUN	구드룬
GUERICKE	게리케
GUERRA	게라
GUERRERO	게레로
GUGGENHEIM	구겐하임
GUIANA	기아나
GUIDO	구이도
GUILLAUME	기욤
GUILLAUMIN	기요맹
GUILLEMIN	기유맹
GUINEA	기니
GUINEA-BISSAU	기니비사우
GUIZOT	기조
GULDBERG	굴드베르그
GULLSTRAND	굴스트란드
GUMPLOWICZ	굼플로비치
GUNDERSON	건더슨
GUNDOLF	군돌프
GUNNAR	군나르
GUNTER	건터
GUNTHER	건서
GUPTA	굽타
GURLEY	걸리
GURWITSCH	거비치
GUSOU	구써우
GUSTAF	구스타프
GUSTAV	구스타브
GUSTAVE	구스타브
GUSTAVO	구스타보
GUTENBERG	구텐베르크
GUTIERREZ	구티에레스
GUY	가이
GUYANA	가이아나
GUYAU	귀요
GUYON	귀용
GUZMAN	구즈먼
GWEN	그웬
GYULA	줄러
HAAG	헤이그
HAARLEM	하를렘
HAAS	하스
HAAVELMO	호벨모
HABAKKUK	하박국
HABER	하버
HABERMAS	하버마스
HABIB	하비브
HABRE	아브르
HABSBURG	합스부르크
HADLEY	하들리
HAECKEL	헤켈
HAGEN	하겐
HAGENBECK	하겐베크
HAGERSTOWN	헤거스타운
HAGGARD	해거드
HAGUE	헤이그
HAHN	안
HAHNEMANN	하네만
HAIDAR	하이다르
HAIDER	하이더
HAIFA	하이파
HAIG	헤이그
HAINS	엥스
HAITI	아이티
HAL	핼
HALAS	할라스
HALDANE	홀데인
HALE	헤일
HALES	헤일즈
HALEY	할리
HALIFAX	핼리팩스
HALL	홀
HALLE	할레
HALLER	할러
HALLEY	핼리
HALLWACHS	할박스
HALMA	핼머
HALS	할스
HALSTEAD	할스태드
HAMANN	하만
HAMBURG	함부르크
HAMEL	하멜
HAMILTON	해밀턴
HAMLET	햄릿
HAMLIN	햄린
HAMMER	하머
HAMMERSTEIN	해머스타인
HAMMOND	해몬드
HAMPSHIRE	햄프셔
HAMPTON	햄프턴
HAMSUN	함순
HANDEL	헨델
HANDLER	핸들러
HANK	행크
HANKEL	항켈
HANNA	한나
HANNAH	해나
HANNELORE	하넬로레
HANNIBAL	한니발
HANNOVER	하노버
HANOI	하노이
HANON	아농
HANOVER	하노버
HANS	한스
HANSARD	핸서드
HANSEN	한센
HANSLICK	한슬리크
HANSON	핸슨
HANSSON	한손
HANZI	한쯔
HARALD	하랄트
HARARE	하라레
HARBISON	하비슨
HARDEN	하든
HARDIE	하디
HARDING	하딩
HARDWICK	하드윅
HARDWICKE	하드위케
HARDY	하디
HARGREAVES	하그리브스
HARIS	하리스
HARLEM	할렘
HARLEY	할리
HARLOW	할로
HARMAN	하먼
HARMON	하먼
HARNACK	하르나크
HAROLD	해럴드
HARPER	하퍼
HARRIET	해리엇
HARRIMAN	해리먼
HARRINGTON	해링턴
HARRIS	해리스
HARRISBURG	해리스버그
HARRISON	해리슨
HARROW	해로
HARRY	해리
HARSANYI	허샤니
HART	하트
HARTE	하트
HARTFORD	하트퍼드
HARTLE	하틀
HARTLEY	하틀리
HARTLINE	하틀라인
HARTMANN	하르트만
HARTMUT	하르트무트
HARTUNG	아르퉁
HARVARD	하버드
HARVEY	하비
HARWOOD	하우드
HASENCLEVER	하젠클레버
HASKELL	하스켈
HASLER	하슬러
HASSAN	하산
HASSANAL	하사날
HASSE	하세
HASSEL	하셀
HASSLER	하슬러
HASTINGS	헤이스팅스
HATCH	해치
HATHAWAY	해서웨이
HAUFF	하우프
HAUGLAND	헤울란
HAUPTMANN	하웁트만
HAUSER	하우저
HAUSHOFER	하우스호퍼
HAVANA	아바나
HAVEL	하벨
HAWAII	하와이
HAWKE	호크
HAWKINS	호킨스
HAWKS	호크스
HAWN	혼
HAWORTH	하스
HAWTHORN	호손
HAWTHORNE	호손
HAY	헤이
HAYDEN	헤이든
HAYDN	하이든
HAYEK	하이에크
HAYES	헤이스
HAYNES	헤인즈
HAZARD	해저드
HAZEL	헤이즐
HAZLITT	해즐릿
HEALEY	힐리
HEARN	혼
HEARST	허스트
HEATH	히스
HEATHER	헤더
HEAVISIDE	헤비사이드
HEBBEL	헤벨
HEBEL	헤벨
HEBRA	헤브라
HEBRIDES	헤브리디스
HEBRON	헤브론
HECHT	헥트
HECKEL	헤켈
HECKLER	헤클러
HECKMAN	헤크먼
HECKSCHER	헤크셰르
HECTOR	헥토르
HEDIN	헤딘
HEDTOFT	헤드토프트
HEDY	헤디
HEFNER	헤프너
HEGEL	헤겔
HEIBERG	헤이베르그
HEIDEGGER	하이데거
HEIDELBERG	하이델베르크
HEIDENSTAM	헤이덴스탐
HEIFETZ	하이페츠
HEIJERMANS	하이예르만스
HEIKE	하이케
HEIM	하임
HEINE	하이네
HEINRICH	하인리히
HEINTZE	하이트체
HEINZ	하인츠
HEISENBERG	하이젠베르크
HEITOR	헤이토르
HEKMATYAR	헤크마티아르
HELD	헬드
HELEN	헬렌
HELENA	헬레나
HELENE	헬레네
HELGELAND	헬걸런드
HELLER	헬러
HELLMAN	헬먼
HELMHOLTZ	헬름홀츠
HELMONT	헬몬트
HELMS	헬름스
HELMUT	헬무트
HELSINKI	헬싱키
HEMINGWAY	헤밍웨이
HENCH	헨치
HENDERSON	헨더슨
HENDRICKSON	헨드릭슨
HENDRIK	헨드리크
HENDRIKX	헨드릭스
HENIE	헤니
HENKEL	헨켈
HENLE	헨레
HENLEY	헨리
HENNEBIQUE	엔비크
HENRI	앙리
HENRIETTA	헨리에타
HENRIK	헨리크
HENRIOT	앙리오
HENRIQUEZ	엔리케스
HENRY	앙리
HENRYK	헨리크
HENSEL	헨젤
HENSEN	헨젠
HENZE	헨체
HEPBURN	헵번
HEPPLEWHITE	헤플화이트
HEPWORTH	헵워스
HERB	허브
HERBART	헤르바르트
HERBERT	허버트
HERDER	헤르더
HEREFORD	헤리퍼드
HERFORD	헤어포트
HERING	헤링
HERMAN	허먼
HERMANN	헤르만
HERMES	헤르메스
HERNANDEZ	헤르난데스
HERNE	헤르네
HERON	헤론
HERRERA	헤레라
HERRICK	헤릭
HERRINGTON	헤링턴
HERRIOT	에리오
HERSCHEL	허셜
HERSEY	허시
HERSHEY	허시
HERTA	헤르타
HERTFORD	하트퍼드
HERTWIG	헤르트비히
HERTZ	헤르쯔
HERZBERG	헤르츠베르크
HERZL	헤르츨
HERZOG	헤어초크
HESELTINE	헤슬타인
HESS	헤스
HESSE	헤세
HESSEN	헤센
HETTNER	헤트너
HEUSS	호이스
HEWISH	휴이시
HEWITT	휴잇
HEWLETT	휴렛
HEYDEN	헤이덴
HEYERDAHL	헤위에르달
HEYM	하임
HEYMAN	헤이먼
HEYMANS	하이만스
HIBERNIA	하이버니아
HICKS	힉스
HIDALGO	이달고
HIERONYMUS	히에로니무스
HIGGINS	히긴스
HILARY	힐러리
HILBERT	힐베르트
HILDA	힐다
HILDEBRAND	힐데브란드
HILFERDING	힐퍼딩
HILL	힐
HILTON	힐턴
HILTY	힐티
HIMMLER	힘러
HINDEMITH	힌데미트
HINDENBURG	힌덴부르크
HINDS	하인즈
HINDUSTAN	힌두스탄
HINSHELWOOD	힌셜우드
HINTON	힌턴
HIRSCH	허쉬
HITCH	히치
HITCHCOCK	히치콕
HITCHINGS	히칭스
HOARE	호어
HOBART	호바트
HOBBEMA	호베마
HOBBES	홉스
HOBHOUSE	홉하우스
HOBSBAWM	홉스봄
HOBSON	홉슨
HOCHE	오슈
HODEL	호들
HODGE	호지
HODGKIN	호지킨
HODGSON	호지슨
HOEL	호엘
HOFER	호퍼
HOFFA	호파
HOFFMAN	호프만
HOFFMANN	호프만
HOFMANN	호프만
HOFMEISTER	호프마이스터
HOFSTADTER	호프스태터
HOGARTH	호가스
HOGG	호그
HOHENSTAUFEN	호엔슈타우펜
HOLBEIN	홀바인
HOLBERG	홀베르
HOLBROOKE	홀브룩
HOLGER	홀게르
HOLLAND	홀란드
HOLLEY	홀리
HOLLIDAY	홀리데이
HOLLINGWORTH	홀링워스
HOLLOWAY	홀러웨이
HOLLYWOOD	할리우드
HOLMES	홈스
HOLST	홀스트
HOLSTEIN	홀스타인
HOLT	홀트
HOLZ	홀츠
HOLZER	홀처
HOMER	호머
HONDURAS	혼두라스
HONECKER	호네커
HONEGGER	오네게르
HONEYWELL	하니웰
HONGHAI	훙하이
HONIARA	호니아라
HONOLULU	호놀룰루
HONORIUS	호노리우스
HOOCH	호흐
HOOD	후드
HOOKE	훅
HOOVER	후버
HOPE	호프
HOPKINS	홉킨스
HOPP	호프
HOPPER	호퍼
HORACE	호라티우스
HORACIO	호라시오
HORATIO	허레이쇼
HORKHEIMER	호르크하이머
HORN	호른
HORNBY	혼비
HOROWITZ	호로비츠
HORST	호르스트
HORT	홀트
HORTA	오르타
HOSKINS	호스킨스
HOSS	호스
HOTCHKISS	호치키스
HOUDON	우동
HOUSE	하우스
HOUSMAN	하우스먼
HOUSSAY	우사이
HOUSTON	휴스턴
HOWARD	하워드
HOWE	하우
HOWELLS	하우얼스
HOXHA	호자
HOYT	호이트
HRISTOV	흐리스토프
HUBBARD	허버드
HUBBLE	허블
HUBEL	허블
HUBER	후버
HUBERMAN	휴버먼
HUBERT	위베르
HUBERTUS	후베르투스
HUCH	후흐
HUDSON	허드슨
HUE	위에
HUGGINS	허긴스
HUGH	휴
HUGO	위고
HUGUENOT	위그노
HUGUETTE	위게트
HUIZINGA	호이징가
HULBERT	헐버트
HULL	헐
HULME	흄
HULSE	헐스
HUMASON	휴메이슨
HUMBOLDT	훔볼트
HUME	흄
HUMMEL	훔멜
HUMPERDINCK	훔퍼딩크
HUMPHREY	험프리
HUMPHREYS	험프리스
HUNGARY	헝가리
HUNKER	한카
HUNT	헌트
HUNTER	헌터
HUNTINGTON	헌팅턴
HUNTSMAN	헌츠먼
HUNTSVILLE	헌츠빌
HURLEY	헐리
HURT	허트
HUS	후스
HUSAK	후삭
HUSS	후스
HUSSEINI	후세이니
HUSSERL	후설
HUSTON	휴스턴
HUTCHESON	허치슨
HUTCHINS	허친스
HUTCHINSON	허친슨
HUTCHISON	허치슨
HUTSON	허트슨
HUTTEN	후텐
HUTTON	허턴
HUXLEY	헉슬리
HUYGENS	호이겐스
HUYSMANS	위스망스
HYATT	하이엇
HYDE	하이드
HYDERABAD	하이데라바드
HYNDMAN	하인드먼
HYNNINEN	하인니넨
IACOCCA	아이어코카
IAIN	이언
IAN	이언
IBADAN	이바단
IBARBOUROU	이바르부루
IBERIA	이베리아
IBRAHIM	이브라힘
IBSEN	입센
ICELAND	아이슬란드
IDA	이다
IDAHO	아이다호
IDE	이드
IDRIS	이드리스
IGLESIAS	이글레시아스
IGNATIEV	이그나티예프
IGOR	이고르
ILIEV	일리예프
ILLINOIS	일리노이
ILONA	일로나
ILYA	일리야
ILYUSHIN	일류신
IMBERT	임베르트
IMHOFF	임호프
IMMERMANN	이머만
IMRE	임레
INCA	잉카
INCE	인스
INDIA	인디아
INDIANA	인데에나
INDIANAPOLIS	인디애나폴리스
INDIRA	인디라
INDONESIA	인도네시아
INDRA	인드라
INDUS	인더스
INES	이네스
INEZ	아이네즈
INGARDEN	잉가르덴
INGE	잉
INGENHOUSZ	잉겐호우스
INGLIS	잉글리스
INGRAHAM	잉그러햄
INGRES	앵그르
INGRID	잉그리드
INGVAR	잉바르
INNSBRUCK	인스브루크
INVERNESS	인버네스
IOAN	이오안
IOFFE	요페
ION	이온
IONESCO	이오네스코
IOWA	아이오와
IRA	아이라
IRAN	이란
IRAQ	이라크
IRELAND	아일랜드
IRINA	이리나
IRIS	이리스
IRKUTSK	이르쿠츠크
IRONS	아이언스
IRVING	어빙
IRWIN	어윈
ISAAC	이삭
ISAACS	이삭스
ISABEL	이사벨
ISADORA	이사도라
ISAIAH	이사야
ISHERWOOD	이셔우드
ISKANDAR	이스칸달
ISLAMABAD	이슬라마바드
ISLER	아이슬러
ISMAIL	이스마일
ISMAILIA	이스마일리아
ISRAEL	이스라엘
ISTANBUL	이스탄불
ITALO	이탈로
ITALY	이탈리아
ITHACA	이타카
ITZHAK	이작
ITZIK	이치크
IVAN	이반
IVANOV	이바노프
IVERSON	아이버슨
IVES	아이브즈
IVO	이보
IVORY	아이보리
IVY	아이비
JACEK	야체크
JACK	잭
JACKIE	재키
JACKSON	잭슨
JACKSONVILLE	잭슨빌
JACOB	야곱
JACOBI	야코비
JACOBO	하코보
JACOBS	제이콥스
JACOBSEN	야콥센
JACOBUS	야코뷔스
JACOBY	자코비
JACQUARD	자카드
JACQUELINE	재클린
JACQUES	자크
JAFFNA	자프나
JAGAN	제이건
JAGGER	재거
JAHN	얀
JAIME	하이메
JAIPUR	자이푸르
JAKARTA	자카르타
JAKOB	야코프
JAKOBSON	야콥슨
JAM	잼
JAMAICA	자메이카
JAMAL	자말
JAMES	제임스
JAMESTOWN	제임스타운
JAMIESON	제미슨
JAMIL	하밀
JAMISON	제이미슨
JAMMES	잠
JAMSA	잠사
JAN	얀
JANE	제인
JANET	자네
JANEZ	야네즈
JANICE	제니스
JANNINGS	야닝스
JANSEN	얀센
JANSKY	잰스키
JANSSON	얀손
JANTZEN	잔첸
JANUSZ	야누시
JAQUES	자크
JAROSLAV	야로슬라프
JARRE	자르
JARRY	자리
JARUZELSKI	야루젤스키
JASCHA	야샤
JASPER	자스퍼
JASPERS	야스퍼스
JAVA	자바
JAWARA	자와라
JAY	제이
JEAN	잔
JEANETTE	지넷
JEANNE	잔
JEANS	진스
JEFF	제프
JEFFERSON	제퍼슨
JELLINEK	옐리네크
JENA	예나
JENNER	제너
JENNEY	제니
JENNIFER	제니퍼
JENNINGS	제닝스
JENNY	제니
JENS	옌스
JENSEN	옌센
JEPSEN	제프슨
JEREMIAH	예레미야
JEREMIAS	예레미아스
JEREMY	제러미
JEROME	제롬
JERROLD	제럴드
JERUSALEM	예루살렘
JERZY	예지
JESPERSEN	예스페르센
JESS	제스
JESSE	제시
JESSIE	제시
JEVONS	제번스
JI	지
JIDDA	지다
JILL	질
JIM	짐
JIMMY	지미
JOACHIM	요아킴
JOAN	요앙
JOANNE	조앤
JOAQUIN	호아킨
JOBS	잡스
JOCELYN	조셀린
JODELLE	조델
JODIE	조디
JOE	조
JOEL	요엘
JOFFRE	조프르
JOHAN	요한
JOHANN	요한
JOHANNA	요하나
JOHANNES	요하네스
JOHANNESBURG	요하네스버그
JOHANSON	조핸슨
JOHANSSON	요한손
JOHN	존
JOHNNY	조니
JOHNSON	욘손
JOHNSTON	존스톤
JOHNSTONE	존스톤
JOHNSTOWN	존스타운
JOINVILLE	주앵빌
JOLIVET	졸리베
JON	욘
JONAH	요나
JONAS	요나스
JONATHAN	조너선
JONES	존스
JONGKIND	용킨트
JONSON	존슨
JOOST	요스트
JORDAENS	요르단스
JORDAN	요르단
JORGE	조르제
JOSE	조제
JOSEF	요세프
JOSEPH	요셉
JOSEPHSON	조지프슨
JOSEPHUS	요세푸스
JOSH	조시
JOSHUA	여호수아
JOSIE	조쉬
JOSPIN	조스팽
JOST	요스트
JOUHAUX	주오
JOULE	줄
JOURDAN	조단
JOUVE	주브
JOUVET	주베
JOXE	족스
JOYCE	조이스
JOYNER	조이너
JOZEF	요제프
JUAN	후안
JUDAH	유다
JUDAS	유다
JUDD	저드
JUDE	유다
JUDEA	유대
JUDITH	유디트
JUDY	주디
JUE	줴
JUGLAR	쥐글라
JUGNAUTH	주그노트
JUKES	쥬크스
JULES	줄스
JULIA	줄리아
JULIAN	율리아누스
JULIANUS	율리아누스
JULIE	줄리
JULIEN	쥘리앵
JULIET	줄리엣
JULIETTE	쥘리에트
JULIO	훌리오
JULIUS	율리우스
JUMA	주마
JUNEAU	주노
JUNG	융
JUNGE	융게
JUNKER	융커
JUNKERS	융커스
JUNQUEIRO	준케이루
JURGEN	주겐
JUSSIEU	쥐시외
JUSTIN	저스틴
KABUL	카불
KACHALOV	카찰로프
KADUN	카둔
KAFKA	카프카
KAGANOVICH	카가노비치
KAHN	칸
KAI	카이
KAISER	카이저
KAJ	카이
KALAMAZOO	칼라마주
KALB	칼프
KALIMANTAN	칼리만탄
KALININ	칼리닌
KALININGRAD	칼리닌그라드
KALLAS	칼라스
KALMAN	칼만
KAMAL	카말
KAMENEV	카메네프
KAMIL	카밀
KAMINSKI	카민스키
KAMPALA	캄팔라
KAMU	카무
KANDAHAR	칸다하르
KANDEL	캔들
KANE	케인
KANIA	카니아
KANIN	카닌
KANPUR	칸푸르
KANSAS	캔자스
KANT	칸트
KANTOR	캔터
KAPITSA	카피차
KAPP	카프
KAPTEYN	캅테인
KARACHI	카라치
KARAJAN	카라얀
KARAKHAN	카라한
KARAMZIN	카람진
KAREL	카렐
KARELIA	카렐리아
KAREN	카렌
KARIM	카림
KARIMI	카리미
KARIN	카린
KARL	카를
KARLFELDT	칼펠트
KARLGREN	칼그렌
KARLIN	칼린
KARLSRUHE	카를스루에
KAROL	카롤
KARP	카프
KARRER	카러
KARSAVINA	카르사비나
KASAVUBU	카사부부
KASCHNITZ	카슈니츠
KASHMIR	카슈미르
KASPAR	카스파어
KASPER	카스퍼
KASSEM	카셈
KATE	케이트
KATHARINA	카타리나
KATHERINE	캐서린
KATHLEEN	캐서린
KATHMANDU	카트만두
KATZ	카츠
KAUFFMANN	카우프만
KAUFMAN	코프먼
KAUNDA	카운다
KAUTSKY	카우츠키
KAVERIN	카베린
KAY	케이
KAYSER	카이저
KAZAKHSTAN	카자흐스탄
KAZAN	카잔
KEAN	킨
KEARSLEY	키어슬리
KEATON	키튼
KEATS	키츠
KEISER	카이저
KEITA	케이타
KEITH	키스
KEKKONEN	케코넨
KELLER	켈러
KELLERMANN	켈러만
KELLOGG	켈로그
KELLY	켈리
KELSEN	켈젠
KELVIN	켈빈
KEMAL	케말
KEMBLE	켐블
KEMP	켐프
KEMPFF	켐프
KEMPIS	켐피스
KEN	켄
KENDALL	켄들
KENDREW	켄드루
KENNAN	케넌
KENNEDY	케네디
KENNELLY	케널리
KENNETH	케네스
KENNY	케니
KENSINGTON	켄징턴
KENT	켄트
KENTON	켄턴
KENTUCKY	켄터키
KENYA	케냐
KENYATTA	케냐타
KEON	키온
KEPLER	케플러
KEREKOU	케레쿠
KERN	컨
KERR	커
KERRIGAN	케리건
KERSCHENSTEINER	케르셴슈타이너
KESEY	키지
KESSEL	케셀
KESSLER	케슬러
KESWICK	케스윅
KEVIN	케빈
KEY	케이
KEYNES	케인스
KEYSERLING	카이절링
KHABAROVSK	하바로프스크
KHACHATURYAN	하차투리안
KHADEM	카뎀
KHALID	칼리드
KHALIL	칼릴
KHAMENEI	하메네이
KHAN	칸
KHARKOV	카코흐
KHARTOUM	하르툼
KHOMEINI	호메이니
KHORANA	코라나
KHRUSHCHEV	흐루시초프
KIDD	키드
KIEFER	키퍼
KIEL	킬
KIELLAND	셸란
KIER	카야
KIERAN	키런
KIERKEGAARD	키에르케고르
KIESINGER	키징거
KIEV	키예프
KIGALI	키갈리
KILAUEA	키라웨아
KILBY	킬비
KILKENNY	킬케니
KILPINEN	킬피넨
KIMBERLEY	킴벌리
KIMBERLY	킴벌리
KINCK	킹크
KING	킹
KINGSLEY	킹즐리
KINGSTON	킹스턴
KINGSTOWN	킹스타운
KINNEAR	커니어
KINNOCK	키녹
KINSEY	킨제이
KINSHASA	킨샤사
KIOWA	카이오와
KIPLING	키플링
KIRCHER	키르허
KIRCHNER	키르히너
KIRIBATI	키리바시
KIRKLAND	커클런드
KIROV	키로프
KIRPICHNIKOV	키르피치니코프
KIRSCH	키르쉬
KIRSTEN	커스틴
KISANGANI	키상가니
KISS	키시
KISSINGER	키신저
KITCHENER	키치너
KITTY	키티
KIVI	키비
KLAGENFURT	클라겐푸르트
KLAPROTH	클라프로트
KLAUS	클라우스
KLEIN	클라인
KLEMPERER	클렘페러
KLIMT	클림트
KLINE	클라인
KLINGER	클링거
KLITZING	클리칭
KLONDIKE	클론다이크
KLOPSTOCK	클롭슈토크
KLUGE	클루게
KNIES	크니스
KNIGHT	나이트
KNIGHTLEY	나이틀리
KNOWLES	놀스
KNOX	녹스
KNUT	크누트
KNUTH	크누스
KOBLENZ	코블렌츠
KOCH	코흐
KOCHANOWSKI	코하노프스키
KOCHER	코허
KOENIGSBERGER	퀴니스버거
KOEPP	코프
KOERNER	쾨르너
KOESTLER	케스틀러
KOGAN	코간
KOHL	콜
KOHLER	콜러
KOHLRAUSCH	콜라우슈
KOHN	콘
KOIRALA	코이랄라
KOK	코크
KOKOSCHKA	코코슈카
KOLAR	콜라르
KOLAROV	콜라로프
KOLBE	콜베
KOLBENHEYER	콜벤하이어
KOLLER	콜러
KOLLWITZ	콜비츠
KOLMOGOROV	콜모고로프
KOLTSOV	콜초프
KONE	코네
KONESKI	코네스키
KONRAD	콘라트
KONSTANTINOS	콘스탄티노스
KONSTANZ	콘스탄츠
KOOPMANS	쿠프먼스
KOPP	코프
KORNEICHUK	코르네이추크
KORNFELD	콘필드
KORNGOLD	콘골드
KOROLENKO	코롤렌코
KOROR	코로르
KOSSEL	코셀
KOSTOV	코스토프
KOSYGIN	코시긴
KOTZEBUE	코체부
KOVALENKO	코발렌코
KOZLOV	코즐로프
KRAEPELIN	크레펠린
KRAFT	크라프트
KRAKOW	크라코프
KRAM	크램
KRAMER	크레이머
KRASHENINNIKOV	크라셰닌니코프
KRASNODAR	크라스노다르
KRASNOYARSK	크라스노야르스크
KRAUS	크라우스
KRAUSE	크라우제
KRAUSS	크라우스
KREISLER	크라이슬러
KREMER	크레머
KRETSCHMER	크레치머
KREUTZER	크로이처
KRIM	크림
KRISHNA	크리슈나
KRISTIN	크리스틴
KROEBER	크로버
KROEMER	크로머
KROGH	크로그
KRONECKER	크로네커
KRUCZKOWSKI	크루치코프스키
KRUEGER	크루거
KRUGER	크뤼거
KRUPP	크루프
KRUPSKAYA	크루프스카야
KRZYSZTOF	크시슈토프
KUBRICK	큐브릭
KUHLAU	쿨라우
KUHN	쿤
KUHNAU	쿠나우
KUIBYSHEV	쿠이비셰프
KULIK	쿨리크
KULIKOV	쿨리코프
KUMAR	쿠마르
KUMMER	쿠머
KUNDT	쿤트
KUNO	쿠노
KUPRIN	쿠프린
KUROPATKIN	쿠로팟킨
KURSK	쿠르스크
KURT	쿠르트
KUSCH	쿠시
KUTTER	쿠터
KUTUZOV	쿠투조프
KUWAIT	쿠웨이트
KUZNETS	쿠즈네츠
KUZNETSOV	쿠즈네초프
KYD	키드
KYRGYZSTAN	키르긴스스탄
LABAN	라반
LABRADOR	래브라도
LABUAN	라부안
LACAILLE	라카유
LACAN	라캉
LACEY	레이시
LACHMANN	라흐만
LACOMBE	라콤
LACY	레이시
LADISLAV	라디슬라프
LAFONTAINE	라퐁텐
LAFORGUE	라포르그
LAGERKVIST	라게르크비스트
LAGOS	라고스
LAGRANGE	라그랑주
LAHNSTEIN	란스테인
LAHORE	라호르
LAHTI	라티
LAIRD	레어드
LAKE	레이크
LAMA	라마
LAMAR	라마
LAMARR	라마
LAMARTINE	라마르틴
LAMB	램
LAMBERT	람베르트
LAMBETH	램버스
LAMENNAIS	라므네
LAMOUR	라무르
LAMPRECHT	람프레히트
LAMY	라미
LANCASHIRE	랭커셔
LANCASTER	랭커스터
LANCE	랜스
LANDAU	란다우
LANDERS	랜더스
LANDGREBE	랜드그레베
LANDRY	랑드리
LANDSTEINER	란트슈타이너
LANG	랑
LANGBEIN	랭바인
LANGDON	랭던
LANGE	랑에
LANGER	랑거
LANGEVIN	랑주뱅
LANGLAND	랭글런드
LANGLEY	랭글리
LANGMUIR	랭뮤어
LANGUEDOC	랑그도크
LANIER	러니어
LANNING	래닝
LANSING	랜싱
LANSON	랑송
LANVIN	랑방
LANZHAN	란잔
LAO	라오
