A	এ
JUDD	জুড
JUDGE	জজ
JUDO	জুডো
JUDY	জুডি
JUGASANKHA	যুগসঙ্খ
JUGU	জুগু
JUHI	জুহি
JUIN	জুঁই
JULAKKA	জুলাক্কা
JULFIKAR	জুলফিকার
JULI	জুলি
JULIA	জুলিয়া
JULIAN	জুলিয়ান
JULIE	জুলিয়ে
JULIEN	জুলিয়ান
JULIETTE	জুলিয়েট
JULIUS	জুলিয়াস
JULMATUN	জুলমাতুন
JUMA	জুমা
JUMMAN	জুম্মন
JUMNA	জুমনা
JUNAGARH	জুনাগড়
JUNAID	জুনাইদ
JUNAYD	জুনেদ
JUNCTION	জংশন
JUND	ঞ্জুন্দ
JUNEJA	জুনেজা
JUNG	জাং
JUNIOR	জুনিওর
JUNO	জুনো
JUNYO	জুনয়ো
JURANGPATHY	জুরঙ্গপথি
JURJAMAN	নূরজামান
JUSTICE	জাস্টিস
JUSTIN	জাস্টিন
JUVEKAR	জুভেকার
JWAHARLAL	জহরলাল
JYOTI	জ্যোতি
JYOTIRLINGA	জ্যোতির্লিঙ্গ
KA	কা
KAANE	কানে
KAASHI	কাশি
KABARI	কবরী
KABIR	কবির
KABIRHOSEN	কবিরহোসেন
KABITABALA	কবিতাবালা
KABITADEBI	কবিতাদেবী
KABITARANI	কবিতারাণী
KABUL	কাবুল
KACHERI	কাচেরি
KACHIBALA	কচিবালা
KACHIRAM	কচিরাম
KADAFI	কাদাফি
KADUTHURUTHI	কাদুথুরুথি
KAELIN	কায়েলিন
KAHF	কাফ
KAHINUR	কহিনুর
KAHLO	কাহলো
KAHNUWAL	কাহনুওয়াল
KAIF	কাইফ
KAILAS	কৈলাস
KAILASH	কৈলাশ
KAILASHNATH	কৈলাশনাথ
KAINJI	কাঞ্জি
KAISER	কৈসের
KAISERIN	কৈসেরিন
KAITHAL	কাইথাল
KAJALBALA	কাজলবালা
KAJALKUMAR	কাজলকুমার
KAJALMANI	কাজলমনি
KAJALRANI	কাজলরানি
KAJARIA	কাজারিয়া
KAJIBUL	কাজিবুল
KAJIRUL	কাজিরুল
KAJWADKAR	কাজওয়াদকার
KAKA	কাকা
KAKADU	কাকাদু
KAKALI	কাকলি
KAKALIRANI	কাকলীরানী
KAKI	খাকি
KAKIRDE	কাকিরদে
KAKRALA	কাকরালা
KAL	কাল
KALA	কালা
KALABATIDEVI	কলাবতীদেবী
KALACHAND	কালাচাঁদ
KALAMUDDIN	কালামউদ্দিন
KALAN	কালান
KALANKI	কালাঙ্কি
KALE	কলে
KALESHWAR	কালেশ্বর
KALGIDHAR	কলজিধর
KALI	কালি
KALIBALA	কালিবালা
KALIBUNGA	কালিবাঙ্গা
KALICHARAN	কালীচরণ
KALIDAS	কালিদাস
KALIKA	কালিকা
KALIKAMBAL	কালিকম্বল
KALIKINGKAR	কালীকিংকর
KALIKRISHNA	কালিকৃষ্ণ
KALIKUMAR	কালিকুমার
KALIMANTAN	কালিমান্তান
KALIMBA	কালিম্বা
KALIMUDDIN	কলিমদ্দিন
KALINDI	কালিন্দী
KALINJAR	কালিঞ্জর
KALIRAI	কালিরাই
KALIRAM	কালীরাম
KALISHADHAN	কালিসাধন
KALISHANKAR	কালীশংকর
KALLABATI	কাল্লাবতী
KALLICHARRAN	কালিচরন
KALLU	কাল্লু
KALOMANIK	কালোমানিক
KALOSONA	কালোসনা
KALPAGE	কালপেজ
KALPANA	কল্পনা
KALPANARANI	কল্পনারাণী
KALPANATH	কল্পনাথ
KALPESH	কাল্পেশ
KALRA	কালরা
KALTU	কাল্টু
KALU	কালু
KALUPERUMA	কলুপেরুমা
KALURAM	কালুরাম
KALUWITHARANA	কলুথারানা
KALYANI	কল্যাণী
KALYARI	কলিয়ারী
KAMAKHYA	কামাক্ষা
KAMAKSHI	কামাক্ষী
KAMAL	কামাল
KAMALA	কমলা
KAMALABIBI	কমলাবিবি
KAMALADEBHI	কমলাদেভী
KAMALADEVI	কমলাদেবী
KAMALAKANTA	কমলাকান্ত
KAMALARANI	কমলারাণী
KAMALBALA	কমলবালা
KAMALENDU	কমলেন্দু
KAMALESHWAR	কমলেশ্বর
KAMALIKA	কমলিকা
KAMALJIT	কমলজিত
KAMALKANTI	কমলকান্তি
KAMALKISHOR	কমলকিশোর
KAMALKUMAR	কমলকুমার
KAMALLATA	কমললতা
KAMANDE	কামান্ডে
KAMBLE	কাম্বলি
KAMBOJ	কামবোজ
KAMELA	কামেলা
KAMENG	কামেঙ্গ
KAMERA	কেমেরা
KAMPALA	কাম্পালা
KAMRUJJAMAN	কামরুজ্জামান
KAMRUN	কামরুন
KAMRUP	কামরুপ
KANAD	কনাদ
KANADI	কানাড়ী
KANAI	কানাই
KANAILAL	কানাইলাল
KANAK	কণক
KANAKBALA	কনকবালা
KANAKCHANPA	কনকচাঁপা
KANAKLATA	কনকলতা
KANANBALA	কাননবালা
KANANKUMAR	কাননকুমার
KANANRANI	কাননরানী
KANCHANBALA	কাঞ্চনবালা
KANCHANDEVI	কাঞ্চনদেবী
KANCHIPURAM	কাঞ্চিপুরম
KANDAMBY	কান্ডাম্বি
KANDASWAMY	কান্ডাস্বামী
KANDH	খান্দ
KANETKAR	কানেতকার
KANHA	কানহা
KANHAI	কানহাই
KANITKAR	কানিতকার
KANKA	কঙ্ক
KANKAN	কঙ্কন
KANKANA	কঙ্কনা
KANKARAM	কঙ্কারাম
KANKUKUS	কানকুকাস
KANNADA	খন্ড
KANNANUR	কন্নড়
KANOKKANTI	কনককান্তি
KANPUR	কানপুর
KANSAI	কাঁসাই
KANSAS	কানসাস
KANTA	কান্ত
KANTABALA	কান্তবালা
KANTADEVI	কান্তাদেবী
KANTELE	কান্টেলে
KANTILAL	কান্তিলাল
KANTIRAM	কান্তিরাম
KANUN	কানুন
KANWAL	কানোয়াল
KANYAKUMARI	কন্যাকুমারী
KAOUS	কাউস
KAPALEESHWARA	কপালেশ্বর
KAPALI	কাপালি
KAPANI	কাপানি
KAPILA	কপিলা
KAPILESWAR	কপিলেশ্বর
KAPISTHALAM	কপিস্থলম
KAPSHE	কাপশে
KAPUGEDERA	কাপগেডারা
KAPURCHAND	কাপুরচাঁদ
KAPURMONI	কাপুরমনি
KARA	কারা
KARABI	করবী
KARAIKUDI	কারাইকুদি
KARALE	কারালে
KARALI	করালী
KARAM	করম
KARAMBELKAR	কারাম্বেলকার
KARAMBIR	করমবীর
KARAMCHAND	করমচাঁদ
KARAMJIT	করমজিত্
KARANJWAN	কারঞ্জওয়ান
KARATE	ক্যারাটে
KAREEM	করিম
KAREER	কারীর
KARGIL	কার্গিল
KARIM	করিম
KARIMALI	করিমআলি
KARIMGANJ	করিমগঞ্জ
KARIMNAGAR	করিমনগর
KARIMUN	কারিমুন
KARKHANIS	কারখানিস
KARL	কার্ল
KARLSBORG	কার্লসবোর্গ
KARMALKAR	কার্মালকার
KARNAAL	কর্ণেল
KARNAIN	কারনাইন
KARNATAKA	কর্নাটক
KARNES	কার্নেস
KARNIK	কার্নিক
KAROO	কারু
KARPE	কার্পে
KARSTADTQUELLE	কারস্টাডকুয়েল
KARTIK	কার্তিক
KARUNA	করুণা
KARUNABALA	করুনাবালা
KARUNAKALAGE	করুনাকালেগ
KARUNARANI	করুনারানী
KARUPPPANADHI	দারুপপ্পানাধি
KARVI	কার্ভি
KASARGOD	কসারগোদ
KASEI	কাসেই
KASHARIDEBI	কেশরীদেবী
KASHESWARI	কাশেশ্বরী
KASHIBALA	কাশিবালা
KASHIKAR	কাশিকার
KASHIM	কাশিম
KASHIMA	কাশিমা
KASHIRAM	কাশীরাম
KASHMIRI	কাশ্মিরি
KASTURI	কস্তুরী
KASUNGU	কাসুঙ্গু
KATADARE	কাতাদারে
KATE	কাটে
KATHAJURI	কথাঝুরি
KATHAK	কথথক
KATHAKALI	কথাকলি
KATHPAL	কাঠপাল
KATICH	ক্টিচ
KATIHAR	কাটিহার
KATNI	কাটনি
KATO	কাটো
KATONG	কাটোং
KATSE	কাটসে
KATTORA	কাট্টোরা
KATYAL	কাটওয়াল
KAUA	কাউয়া
KAULAN	কৌলান
KAUMUDHI	কৌমুদী
KAUSHAMBI	কৌশাম্বী
KAUSHIK	কৌশিক
KAVIGNAR	কভিগনার
KAVISHWAR	কবিশ্বর
KAVLI	কাভলি
KAVTHEKAR	কাভতেকার
KAWABATA	কাওয়াবাটা
KAWACHI	কওয়াচি
KAWARDHA	কোয়ার্ধা
KAWISHAR	কাওইশ্বর
KAYAKING	ক্যাকিং
KAZANTZAKIS	কাজান্তজাকিস
KAZIRANGA	কাজিরাঙ্গা
KAZMAIER	কাজমিয়ার
KEDAR	কেদার
KEDARMANI	কেদারমনি
KEDARNATH	কেদারনাথ
KEEGAN	কিগান
KEEP	কিপ
KEER	কীর
KEERATPUR	কেরাতপুর
KEERTHI	কীর্তি
KEF	কেফ
KEITH	কিথ
KEJIMKUJIK	কেজিমকুজিক
KEKA	কেকা
KEKARANI	কেকারানী
KEKARE	কেকারে
KELAVARAPALLI	কেলাভারাপল্লি
KELIMUTU	কেলিমুতু
KELKAR	কেলকার
KELLER	কেলার
KELLEY	কিলি
KELVINGROVE	কেলভিনগ্রোভ
KEMIJARVI	কেমিজার্ভি
KEMP	কেম্প
KENA	কেনা
KENAMU	কেনামু
KENDRAPADA	কেন্দ্রপাড়া
KENILWORTH	কেনিলওয়ার্থ
KENNEDY	কেন্নেডি
KENNETH	কিনিথ
KENNINGS	কেনিঙ্গস
KENNY	কেনি
KENOSHA	কেনোশা
KENTUCKY	কেনতাকি
KENYA	কেনিয়া
KENYIR	কেনইর
KEOLADEO	কেওলাদেও
KEPHART	কেফার্ট
KEPULAUAN	কেপুলাউয়ান
KERO	কেরো
KERR	কের
KERSHAW	কার্স
KESARI	কেশরী
KESAVA	কেশব
KESHAB	কেশব
KESHAR	কেশর
KESHAVDAS	কেশভদাস
KESHTA	কেষ্ট
KESHU	কেশু
KESSEL	কেসেল
KETABALI	কেতাবআলি
KETABAN	কেতেবান
KETABUN	কেতাবুন
KETCHUM	কেটচুম
KETUBALA	কেটুবালা
KEVIN	কেভিন
KEVORKIAN	কিভোরকিয়ান
KEY	কি
KHABAR	খবর
KHABOR	খপর
KHADAKWASLA	খাদাকওয়াসলা
KHADATKAR	খাদাতকার
KHADIKAR	খাদিকার
KHADILKAR	খাদিলকার
KHAGEN	খগেন
KHAGENDRA	খগেন্দ্র
KHAHERA	খাহেরা
KHAHIRA	খাহিরা
KHAIRUL	খাইরুল
KHAIRUN	খাইরুন
KHALDA	খালদা
KHALED	খালেদ
KHALEDA	খালেদা
KHALID	খালিদ
KHALIL	খালিল
KHALSA	খালসা
KHAMBETE	খাম্বেটে
KHAMMAM	খাম্মাম
KHAN	খান
KHANDA	খাঁদা
KHANDEKAR	খান্ডেকার
KHANDESH	খান্দেশ
KHANDU	খাঁদু
KHANDUR	খান্দুর
KHANUJA	খানুজা
KHANVILKAR	খানভিলকর
KHANWALKAR	খানওয়ালকার
KHARE	খারে
KHARGA	খর্গ
KHARTOUM	খার্তুম
KHASGIWALE	খাসগিওয়ালে
KHATAVKAR	খাতভকার
KHATKADKALA	খাতকাদকলা
KHATRI	খাতরি
KHATTDA	খাত্তদা
KHATU	খাটু
KHEDA	খেদা
KHEDI	খেদি
KHELADASI	খেলাদাসী
KHENDA	খেঁদা
KHENTI	খেন্তী
KHEPA	খেপা
KHER	খের
KHINDA	খিনদা
KHIRBALA	ক্ষীরবালা
KHIRI	খিরি
KHIROD	ক্ষীরোদ
KHIRWADKAR	ক্ষীরোদকার
KHITISH	ক্ষিতীশ
KHOKAN	খোকন
KHOKANKUMAR	খোকনকুমার
KHOKARAM	খোকারাম
KHOMEINI	খোমেইনি
KHOSMAHAMMAD	খোসমহম্মদ
KHOUMS	খৌমস
KHRUSHCHEV	খরুশ্চহেব
KHUBGAONKAR	খুবগাঁওকার
KHUDIBALA	খুদিবালা
KHUDIRAM	খুদিরাম
KHUDUBALA	ক্ষুদুবালা
KHUKHREN	খুখ্রেন
KHUKI	খুঁকী
KHUKU	খুকু
KHUKUMANI	খুকুমণি
KHUKUN	খুকুন
KHUNGRA	খুনগ্রা
KHURANA	খুরানা
KHURASIYA	খুরসিয়া
KHURD	খুদ
KHURSHID	খুরশিদ
KHURSHIDA	খুরশিদা
KHUSI	খুসি
KHUSRO	খসরু
KHWAJA	খওয়াজ
KI	কা
KICHOCHA	কিচোচা
KIDEPO	কিডেপো
KIEV	কিভ
KII	কী
KIJKUIT	কিজকুইট
KILA	কিলা
KILIMANJARO	কিলিমাঞ্জারো
KILLARNEY	কিল্লারনে
KIM	কিম
KIMBER	কিম্বার
KIMBERLY	কিম্বার্লি
KINA	কিন
KINETIC	কাইনেটিক
KINGDOM	কিংডম
KINGFISHER	কিংফিসার
KINGSTON	কিঙ্কটন
KINKAR	কিংকর
KINSHASA	কিনশাসা
KIRANBALA	কিরণবালা
KIRANDEBI	কিরণদেবী
KIRANDEVI	কিরনদেবী
KIRANI	কিরণী
KIRBY	কির্বি
KIRIN	কিরিন
KIRLOSKAR	কিরলোস্কর
KIRMANI	কিরমানি
KIRSTEN	ক্রিস্টন
KIRTINASHA	কীর্তিনাশা
KIRTLEY	কিরটলে
KISHANGANJ	কিশানগঞ্জ
KISHANLAL	কিষনলাল
KISHOR	কিশোর
KISHTAPADA	কিষ্টপদ
KISITE	কিসিতে
KISORIBALA	কিশোরীবালা
KISORILAL	কিশোরীলাল
KISORIMOHAN	কিশোরীমোহন
KISORKUMAR	কিশোরকুমার
KITTEN	কিত্তেন
KITTSON	কিটশন
KITTY	কিট্টি
KLAMATH	ক্লামাথ
KLEIST	ক্লেইস্ট
KLOP	ক্লোপ
KLUANE	ক্লুয়ানে
KLUSENER	ক্লুসেনার
KNIGHT	নাইট
KNORR	নর
KNOX	নক্স
KNOXVILLE	নক্সভিল
KNUTH	কুথ
KOBSA	কোবসা
KOCH	কোচ
KOCHHAD	কোছাদ
KOCHI	কোচি
KOCK	কোক
KODAK	কোডাক
KODARAMA	কোদার্মা
KODASALLI	কোদাসাল্লি
KOEN	কয়েন
KOHIMA	কোহিমা
KOHINOORBEGAM	কহিনুরবেগম
KOHINUR	কোহীনুর
KOHN	কোন
KOIL	কোলি
KOKANASTHA	কোকানাস্থা
KOKILA	কোকিলা
KOL	কোল
KOLBE	কোলবি
KOLKATA	কোলকাতা
KOLTHEKAR	কোলথেকার
KOLVADA	কোলভাদা
KOMODO	কোমোডো
KON	কোন
KONARK	কোনারক
KONDRP	কন্দর্প
KONG	কং
KONGHOU	কোঙ্গহোউ
KONGZHONG	কংঝোং
KONIG	কোনিগ
KONIKABALA	কনিকাবালা
KONIKARANI	কনিকারানী
KONING	কোনিং
KONINGEN	কোনিংজেন
KONKAN	কোঙ্কণ
KONKANI	কোঙ্কনী
KONKAR	কোঙ্কার
KOPARKAR	কোপারকার
KOPRAN	কোপরান
KORANNE	কোরানে
KORAPUT	কোরাপুট
KORBA	কোর্বা
KORBANALI	কোরবানআলী
KORDE	খোড়ে
KOREA	কোরিয়া
KORO	কোরো
KORUNA	কোরুন
KORYAK	কোরিয়াক
KOSAN	কোসান
KOSHUR	কোশুর
KOSI	কোশী
KOTA	কোটা
KOTAK	কোটাক
KOTHULKAR	কোথুলকার
KOTLA	কোটলা
KOTNIS	কোটনীশ
KOTO	কোটো
KOTTAYAM	কোট্টায়াম
KOTWAL	কোতোয়াল
KOUCHIBOUGUAC	কৌচিবৌগুয়াক
KOUSHILA	কৌশিলা
KOUSTABH	কৌস্তভ
KOVILAR	কোভিলার
KOWLOON	কউলুন
KOYNA	কোইনা
KOYO	কোয়ো
KRANTI	ক্রান্তি
KRATZ	ক্রাটজ
KREBS	ক্রেবস
KRIPAL	কৃপাল
KRIPARANI	কৃপারানী
KRIPASINDHU	কৃপাসিন্ধু
KRISHANU	কৃশানু
KRISHNA	কৃষ্ণ
KRISHNACHARAN	কৃষ্ণচরন
KRISHNADAS	কৃষ্ণদাস
KRISHNADASHI	কৃষ্ণদাসী
KRISHNADEBI	কৃষ্ণদেবী
KRISHNADEVI	কৃষ্ণাদেবী
KRISHNAGOPAL	কৃষ্ণগোপাল
KRISHNAHARI	কৃষ্ণহরি
KRISHNAKALI	কৃষ্ণকলি
KRISHNAKAMAL	কৃষ্ণকমল
KRISHNAKANTA	কৃষ্ণকান্ত
KRISHNAKISOR	কৃষ্ণকিশোর
KRISHNAMURTHY	কৃষ্ণমূর্তি
KRISHNAMURTI	কৃষ্ণমূর্তি
KRISHNENDU	কৃষ্ণেন্দু
KROGER	ক্রোজের
KRONA	ক্রোন
KRONE	ক্রোনে
KROVI	ক্রোভি
KRUGER	ক্রুগার
KSHIRSAGAR	ক্ষীরসাগর
KUDDUS	কুদ্দুস
KUDREMUKH	কুদ্রেমুখ
KUHAD	কুহাদ
KUHELI	কুহেলী
KUKKAD	কুক্কাদ
KUKREJA	কুকরেজা
KULACHI	কুলাচি
KULAR	কুলার
KULASEKARA	কুলাসেকারা
KULDIP	কুলদীপ
KULESWAR	কুলেশ্বর
KULKARNI	কুলকার্ণি
KULLU	কুল্লু
KULON	কুলোন
KULSAM	কুলসম
KULSAN	কুলসন
KULSUM	কুলসুম
KUMANO	কুমানো
KUMAR	কুমার
KUMARI	কুমারী
KUMARIDEVI	কুমারীদেবী
KUMBHALGARH	কুম্ভলগড়
KUMBHU	কুম্ভু
KUMBLE	কুমলে
KUMHAR	কুমহার
KUMKUM	কুমকুম
KUMUDINI	কুমুদিনী
KUNJA	কুঞ্জ
KUNJUBALA	কুঞ্জবালা
KUNTALIKA	কুন্তলিকা
KUNTIBALA	কুন্তীবালা
KUNTIDEVI	কুন্তীদেবী
KUP	কুপ
KUPWADA	কুপওয়ারা
KURAL	কুরাল
KURANI	কুড়ানী
KURBAN	কুরবান
KURE	কুরে
KURESHA	কুরেশা
KURIRAM	কুড়িরাম
KURSEDALI	খুরসেদআলি
KURSHIDA	খুর্শিদা
KURT	কুর্ট
KURUPPU	কুরুপপু
KURUS	কুরুস
KURUVILLA	কুরুবিল্ল
KUSHADHWAJ	কুশধবজ
KUSHAL	কুশল
KUSHCHADRA	কুশচন্দ্র
KUSHIMOHAN	খুশিমোহন
KUSHINAGAR	কুশীনগর
KUSTARI	কুস্তরী
KUSUM	কুসুম
KUSUMBALA	কুসুমবালা
KUSUMBIBI	কুসুমবিবি
KUSUMDEVI	কুসুমদেবী
KUSUMRANI	কুসুমরানী
KUTABUDDIN	কুতবদ্দিন
KUTCH	কুচ
KUTUBALI	কুতুবআলি
KUTUBUDDIN	কুতুবউদ্দিন
KUTUMBE	কুটুম্বে
KUTUZOV	কুটুজোভ
KUWAIT	কুয়াট
KVILLE	ভিল
KWACHA	কওয়াচ
KYLE	কিল
KYONJHAR	কেওনঝড়
KYOTO	কিওটো
KYUSHU	কায়ুসু
LA	লা
LAARI	লারি
LAB	লব
LABACHANDRA	লবচন্দ্র
LABAKANTA	লবকান্ত
LABAKUMAR	লবকুমার
LABANGA	লবঙ্গ
LABANGALATA	লবঙ্গলতা
LABLI	লাবলী
LABLU	লাবলু
LABONI	লাবনী
LABOPHARM	লাবোফার্ম
LABORATORIES	ল্যাবরেটরিজ
LABOUR	লেবার
LABROOY	লেব্রোই
LABS	ল্যাব
LACHMAN	লছমন
LACHMI	লছমী
LACK	ল্যাক
LACROSSE	লাক্রোস
LADEN	লাদেন
LADHAI	লধাই
LADHU	লধু
LADOGA	লাডোগা
LADY	লেডি
LAEEQ	লায়েক
LAFAYETTE	লাফায়েট্টা
LAGARDÈRE	লাগার্ড্রে
LAGENDRA	লগেন্দ্র
LAGOA	লাগোয়া
LAGOS	লাগোস
LAGRANGE	লাগ্রাঞ্জে
LAGU	লাগু
LAHORE	লাহোর
LAJJABATI	লজ্জাবতী
LAKDE	লাকড়ে
LAKE	লেক
LAKES	লেকস
LAKHANPAL	লাখানপাল
LAKHIMPUR	লাখিমপুর
LAKHIND	লখীন্দ
LAKHINDAR	লখিন্দর
LAKHIRAM	লখিরাম
LAKKAD	লাক্কাদ
LAKKHEWALI	লাক্ষেওয়ালি
LAKKHUWAL	লাক্ষুওয়াল
LAKSHADWEEP	লাক্ষাদ্বীপ
LAKSHIJAN	লক্ষীজান
LAKSHMAN	লক্ষ্মণ
LAKSHMIBAI	লক্ষ্মীবাঈ
LAKSHMIBEGAM	লক্ষীবেগম
LAKSHMIDEBI	লক্ষ্মীদেবী
LAKSHMIKANTA	লক্ষীকান্ত
LAKSHMIPADA	লক্ষ্মীপদ
LAKSHMIPATHY	লক্ষ্মীপথে
LAKSHMIRAM	লক্ষীরাম
LAKSHMIRANI	লক্ষীরাণী
LAL	লাল
LALA	লালা
LALADU	লালাদু
LALAI	লালাই
LALAN	লাল্লন
LALANPRASAD	লালনপ্রসাদ
LALBABU	লালবাবু
LALBAHADUR	লালবাহাদুর
LALBANU	লালবানু
LALBIBI	লালবিবি
LALBIHARI	লালবিহারী
LALCHAND	লালচাঁদ
LALIBALA	লালীবালা
LALIM	লালিম
LALIT	ললিত
LALITA	ললিতা
LALITADEVI	ললিতাদেবী
LALITH	ললিথ
LALITHAMANA	ললিথামানা
LALITMOHAN	ললিতমোহন
LALITPUR	ললিতপুর
LALJI	লালজি
LALKUMAR	লালকুমার
LALLU	লাল্লু
LALMAHMMAD	লালমহাম্মদ
LALMOHAN	লালমোহন
LALMONI	লালমনি
LALMONIDEVI	লালমনিদেবী
LALO	লালো
LALSAHAB	লালসাহেব
LALTU	লালটু
LALTUSI	লালটুসি
LAMA	লামা
LAMAR	লামার
LAMB	ল্যাম্ব
LAMBA	লাম্ব
LAMBADA	লাম্বাদ
LAMBDA	লাম্বদা
LAMBERT	লাম্বার্ট
LAMBODAR	লম্বোদর
LAMBU	লম্বু
LAMECK	লমেক
LAMPERT	ল্যাম্পের্ট
LAMPS	ল্যাম্পস
LANAU	লেনাউ
LANCASTER	ল্যানকাস্টার
LANCE	লেন্স
LAND	ল্যান্ড
LANDGUARD	ল্যান্ডগার্ড
LANDMARK	ল্যান্ডমার্ক
LANDMOLEN	ল্যান্ডমোলেন
LANDON	লন্ডন
LANEN	লানেন
LANG	লাং
LANGER	লাঙ্গার
LANGHAM	ল্যাংহ্যাম
LANGSTONE	ল্যাংস্টোন
LANKA	লঙ্কা
LANOPTICS	ল্যানঅপটিক্স
LANTHANUM	ল্যানথানাম
LANTIN	ল্যান্টিন
LAPPEENRANTA	ল্যাপেনর্যানটা
LAPTEV	ল্যাপটেভ
LARA	লারা
LARAMIE	লারামি
LARKIN	লার্কিন
LARNACA	লারনাক
LARRY	লারি
LARSEN	লার্সেন
LAS	লস
LATABALA	লতাবালা
LATARANI	লতারাণী
LATIBUDDIN	লতিবুদ্দিন
LATIF	লাটিফ
LATIFA	লতিফা
LATIKA	লতিকা
LATIKABALA	লতিকাবালা
LATIKARANI	লতিকারানী
LATIPHBIBI	লতিফবিবি
LATORRE	লাটোরে
LATU	লটু
LATUR	লাটুর
LAU	লাউ
LAUDERDALE	লাউডারডেল
LAUGHLIN	লাভলিন
LAURA	লাউরা
LAUREATE	লাউরেয়েট
LAURENCE	লাউরেন্স
LAURENS	লরেন্স
LAURIA	লাউরিয়া
LAUWERSHOEK	লৌয়ারশোক
LAVACA	লাভাকা
LAVAL	লাভাল
LAVENDER	ল্যাভেন্ডার
LAVLI	লাভলি
LAWAATE	লাওয়াতে
LAWATE	লওতে
LAWRENCE	লাওয়ারেন্স
LAWRENCIUM	লরেনসিয়াম
LAWRIE	ল্যরি
LAWSON	লোশন
LAXMAN	লক্ষন
LAXMIBALA	লক্ষ্মীবালা
LAXMIKANTA	লক্ষিকান্ত
LAXMINARAYAN	লক্ষ্মীনারায়ণ
LAXMIRANI	লক্ষ্মীরাণী
LAYAR	লায়র
LEACOCK	লেয়াকুক
LEAD	লেড
LEADING	লিডিং
LEAGUE	লেগু
LEAGUES	লিয়েগুয়েস
LEAR	লিয়ার
LEARY	লিয়েরি
LEBALI	লেবআলি
LEBANON	লেবানন
LEE	লী
LEEDS	লির্ডস
LEEDSTOWN	লিডসটাউন
LEES	লিস
LEGAL	লিগাল
LEGEND	লিগেন্ড
LEGION	লিজিয়ান
LEHMANN	লেহম্যান
LEHRER	লেহরার
LEI	লেই
LEISURE	লেইসিওর
LEL	লে
LELE	লেলে
LEMPIRA	লেম্পিরা
LENA	লেনা
LENAWEE	লেনাওয়ে
LENCOIS	লেনকয়েস
LENIN	লেনিন
LENINGRAD	লেলিলগ্রাড
LENO	লিনো
LEO	লিও
LEON	লিওন
LEONARD	লিওনার্দো
LEONE	লিওন
LEOPARD	লেপার্ড
LES	লেস
LESLIE	লেসলি
LESTER	লেস্টার
LESVOS	লেসভোস
LETTERMAN	লেটারম্যান
LETTERS	লেটারস
LETTRE	লেট্রে
LEU	লিউ
LEUSEUR	লিউসিওর
LEV	লেভ
LEVASSEUR	লেভাসেউর
LEVER	লিভার
LEWINSKY	লিউয়িনস্কি
LEWIS	লেইউস
LIAM	লিয়াম
LIAQAT	লিয়াকত
LIBERACE	লিবারেস
LIBERTE	লিবার্টি
LIBERTY	লাইবেরি
LIBRA	লব্রা
LIBRARY	লাইবেরি
LIBREVILLE	লিব্রেভিল
LIEBENBERG	লিয়েনবার্গ
LIECHTENSTEIN	লিচটেন্সটাইন
LIERRE	লিররে
LIERS	লিয়ার্স
LIFETIME	লাইফটাইম
LIGGETT	লিগেট
LIGHTHOUSE	লাইটহাউস
LIKHANSAR	লিখানসর
LILA	লীলা
LILABATI	লীলাবতি
LILARANI	লীলারাণী
LILLA	লিলা
LILLE	লিলে
LIMA	লিমা
LIMAYE	লিমায়
LINA	লীনা
LINATE	লিনাতে
LINCOLN	লিঙ্কন
LINDU	লিন্ডু
LINES	লাইনস
LINGANAMAKKI	লিঙ্গনমক্কি
LINGARAJA	লিঙ্গরাজ
LINGESHWARA	লিঙ্গেশ্বর
LION	লিয়ন
LIONS	লিওনস
LIPA	লিপা
LIPI	লিপি
LIPIKA	লিপিকা
LIPTON	লিপটন
LISA	লিজা
LISAD	লিসাদ
LISBON	লিসবন
LITAN	লিটান
LITERARY	লিটেরারি
LITERATURE	লিটেরাচার
LITHIUM	লিথিয়াম
LITTLE	লিটিল
LITTLEHAMPTON	লিটিলহ্যাম্পটন
LITTORIO	লিটোরিও
LIVERPOOL	লিভারপুল
LIVETT	লিভেট
LIVING	লিভিং
LIVINGSTONE	লিভিংস্টোন
LIWONDE	লিওন্ডে
LLOYD	লোড
LOA	লোয়া
LOBACHEVSKY	লোবাচেভস্কাই
LOCATION	লোকেশান
LOCHAN	লোচন
LOCK	লক
LOCKERIDGE	লকাররিজ
LOCKHEED	লকহিড
LOEWS	লোয়েস
LOGIC	লোজিক
LOGIE	লোগি
LOGITECH	লগিটেক
LOHARGANJ	লোহারগঞ্জ
LOHGAD	লোহগাড
LOHIT	লোহিত
LOHOU	লোহোউ
LOJKI	লোজকি
LOKESH	লোকেশ
LOKNATH	লোকনাথ
LOKRE	লোকরে
LOKSATTA	লোকসত্তা
LOKUARACHCHI	লোকারাচ্চি
LOKUHETTIGE	লোকুহেট্টিগ
LOLA	লোলা
LOLE	লোলে
LONCIN	লনসন
LONDHE	লোন্ধে
LONDON	লন্ডন
LONG	লং
LONKAR	লোনকার
LOOTS	লুটস
LOPAMUDRA	লোপামুদ্রা
LORD	লর্ড
LORE	লোরে
LORRAINE	লরেন
LORÉAL	লোরিয়াল
LOTAN	লোটন
LOTANBALA	লোটনবালা
LOTNI	লোটনী
LOUDON	লোউডোন
LOUHARA	লোউহারা
LOUIS	লুইস
LOUISIANA	লুইসিনিয়া
LOUNGANI	লোউঙ্গানি
LOVE	লাভ
LOVERIDGE	লাভরিজ
LOVRIJENAC	লোভরিজেনেক
LOWER	লোওয়ার
